,title,distributor,id,rating score
0,Slappy and the Stinkers,TriStar Pictures,tt0120213,3.3/10
1,Sky Racket,Sam Katzman,tt0140551,no_data
2,Sitting on the Moon,Republic Pictures,tt0028260,no_data
3,Sita,no_data,tt9665402,no_data
4,Sing Sing Nights,no_data,tt0027003,no_data
5,Sinful Davey,The Mirisch Company,tt0064988,4.2/10
6,Silver Stallion,no_data,tt0103156,no_data
7,Silver Blaze,no_data,tt0029565,no_data
8,Shottas,Triumph Films,tt0281190,19%
9,Shivaay,no_data,no_data,no_data
10,Shakuntala Devi,Sony Pictures,tt10964468,no_data
11,Shadow Puppets,no_data,tt0491145,no_data
12,Shadow Company,no_data,tt0762133,7.5/10
13,Shadaa,no_data,tt8983218,no_data
14,Sex Ed,MarVista Entertainment,tt2751310,5.2/10
15,Selfie Dad,no_data,tt6559576,no_data
16,Selah and the Spades,no_data,tt8759834,86%
17,Section 375,no_data,tt8144834,7/10
18,Secret Valley,20th Century Studios,tt0029532,no_data
19,Say Yes,no_data,tt2277668,no_data
20,Sawan Ko Aane Do,no_data,tt0388389,no_data
21,Savyasachi,no_data,no_data,no_data
22,Sand Castles,MarVista Entertainment,tt2233170,no_data
23,San Fernando Valley,Republic Pictures,tt0037245,no_data
24,Salome Where She Danced,Universal Pictures,tt0038046,no_data
25,Sakka Podu Podu Raja,no_data,tt0187476,no_data
26,Saints and Soldiers: Airborne Creed,Netflix,tt2082415,no_data
27,Rustum,no_data,tt0246206,no_data
28,Rupture,no_data,tt0411819,no_data
29,Room 6,Starz Distribution,tt0451187,33%
30,Romola,Metro-Goldwyn-Mayer,tt0015289,no_data
31,Roman Holiday,Netflix,tt0046250,97%
32,Rolling Home,Universal Pictures,tt0017334,no_data
33,Rodeo & Juliet,Netflix,tt4693860,no_data
34,Robert,no_data,tt4141368,no_data
35,Riders of the Whistling Pines,Columbia Pictures,tt0041809,no_data
36,Riders of the Rockies,no_data,no_data,no_data
37,Ride,Miramax,tt0120707,no_data
38,Return of the Tiger,no_data,tt0079803,no_data
39,Relentless,CineTel Films,tt0098184,33%
40,Reg'lar Fellers,no_data,tt0034089,no_data
41,Redwood Highway,no_data,tt2515164,6.4/10
42,Redeemer,Warner Bros.,tt0328316,no_data
43,Red Nights,Netflix,tt1401668,no_data
44,Recoil,Eros Films,tt0046231,no_data
45,Reaching for the Moon,United Artists Corporation,tt0021287,no_data
46,Rangasthalam,Konidela production company,tt7392212,100%
