,title,distributor,id,rating score
0,Unforgivable,no_data,tt13003692,no_data
1,Sucker Punch,iTunes,tt0978764,4.2/10
2,Sherni,no_data,tt0187060,no_data
3,Shaandaar,Star Studios,tt4007558,3.9/10
4,LOL,Netflix,tt1592873,3.7/10
5,Kaathadi,no_data,tt7235958,no_data
6,Hasee Toh Phasee,Reliance Entertainment,tt3173910,6/10
7,Happy Anniversary,Eros International,no_data,no_data
8,Boonie Bears: The Big Top Secret,LeVision Pictures,tt5471154,no_data
9,Fugitive Pieces,no_data,tt0765451,6.2/10
10,Monk,no_data,tt4835676,no_data
11,Jawani Phir Nahi Ani,ARY Films,tt4692368,no_data
12,Prem Qaidi,no_data,tt0102706,no_data
13,One and the Same,no_data,tt8906844,no_data
14,Ondu Motteya Kathe,no_data,tt6620238,no_data
15,Jeevan Ek Sanghursh,no_data,tt0104548,no_data
16,Alien Intruder,no_data,tt0106244,no_data
17,Against the Law,no_data,tt0042342,no_data
18,The C Word,Netflix,tt5212792,100%
19,Maqsad,no_data,tt0154844,no_data
20,Life Itself,Netflix,tt2382298,8.4/10
21,Kill Me Three Times,Netflix,tt2393845,4.2/10
22,Insaaf Ki Awaaz,no_data,tt0091267,no_data
23,Extreme Movie,Netflix,tt0806147,no_data
24,Sidekicks,Netflix,tt0105402,4/10
25,"Love, Honour and Obey",Netflix,tt0199727,4.2/10
26,Drowning Mona,Destination Films,tt0186045,29%
27,Worth,no_data,tt8009744,7/10
28,Unthinkable,ADS Service,tt0914863,no_data
29,The Lithium Conspiracy,no_data,tt1876263,no_data
30,The Black List,no_data,no_data,no_data
31,Salt of the Earth,Netflix,tt0047443,100%
32,Patrick's Day,no_data,tt2889112,no_data
33,Hajar Juni Samma,no_data,no_data,no_data
34,Doors,no_data,tt12483708,5.3/10
35,Corona,no_data,tt11766262,no_data
36,Charade,Universal Pictures,tt0056923,94%
37,Bandish,Suresh Productions,tt0154201,no_data
38,Awake,Kino Films,tt13292444,no_data
39,Royal Wedding,Loews Cineplex Entertainment,tt0043983,7.1/10
40,Policeman,no_data,tt1978447,no_data
41,Kansas City Confidential,United Artists Corporation,tt0044789,86%
42,Fratricide,no_data,tt0470702,90%
43,Factory Girl,Netflix,tt0432402,20%
44,Dark Corners,Shoreline Entertainment,tt0485376,no_data
45,Alien Conquest,no_data,tt14134070,no_data
46,Goya's Ghosts,Medusa Film,tt0455957,30%
47,Crimson Romance,no_data,tt0025011,no_data
48,The Naked Kiss,Netflix,tt0058390,no_data
49,The Break,no_data,tt0112574,no_data
50,Paradise Isle,Monogram Pictures,tt0029374,no_data
51,Gulliver's Travels,InterCom,tt1320261,4.1/10
52,Ekkadiki Pothavu Chinnavada,no_data,tt6258486,no_data
53,Dorian Gray,Momentum Pictures,tt1235124,5/10
54,Betrayal,Paramount Pictures,tt0019687,no_data
55,Amhi Doghe Raja Rani,no_data,tt1409073,no_data
56,Penny Serenade,Columbia Pictures,tt0034012,7.5/10
57,M,Paramount Pictures,tt0022100,100%
58,Force of Nature,no_data,tt10308928,8%
59,Aanum Pennum,no_data,no_data,no_data
60,Wish You Were Here,Netflix,tt0094331,7.2/10
61,White Lies,Madman Entertainment,tt2386257,100%
62,Vampire Dog,Eagle Pictures,tt2071648,no_data
63,The Widow,Distributors Corporation of America,tt0047645,no_data
64,The Turning,no_data,tt0105660,no_data
65,The Silent Mountain,no_data,tt2014295,no_data
66,The Shooting,Walter Reade,tt0062262,100%
67,The Rising Hawk,no_data,tt7439064,no_data
68,The Hunted,Netflix,tt0269347,29%
69,The Genesis Code,no_data,tt1481576,no_data
70,The Firm,Paramount Pictures,tt0106918,75%
71,The Blazing Sun,Columbia Pictures,tt0042260,no_data
72,The Believers,Compagnia Distribuzione Internazionale,tt0092632,5.1/10
73,The Babysitters,Netflix,tt0796302,33%
74,Texans Never Cry,no_data,tt0044116,no_data
75,Suck,Netflix,tt1323605,50%
76,Starbuck,Netflix,tt1756750,6/10
77,Sorority Row,Summit Entertainment,tt1232783,4.2/10
78,Saul: The Journey to Damascus,no_data,tt3112206,no_data
79,No Clue,no_data,tt2450334,5.3/10
80,Madeline,InterCom,tt0123987,6.4/10
81,Love Story,Starvision Plus,tt1860276,no_data
82,Loser,Columbia Pictures,tt0217630,4.3/10
83,Kill Chain,no_data,tt8535180,no_data
84,Indian Territory,no_data,tt0042595,no_data
85,Henry & Me,no_data,tt1460798,6/10
86,He Walked by Night,Eagle-Lion Films,tt0040427,no_data
87,Female Agents,Budapest Film,tt0824330,78%
88,Eye of the Beholder,Netflix,tt0120662,9%
89,Dragon Day,no_data,tt1772262,no_data
90,Critical Care,Artisan Entertainment,tt0118901,6.4/10
91,Cell 213,no_data,tt1288636,4.4/10
92,"Bruce Lee: The Man, The Myth",no_data,tt0077850,no_data
93,Big Sky,Netflix,tt2689958,4.3/10
94,Bats,Netflix,tt0200469,3.8/10
95,Barquero,United Artists Corporation,tt0065451,no_data
96,Allies,Entertainment One Films,tt3204734,no_data
97,All Stars,Netflix,tt2186766,5.3/10
98,10 Cent Pistol,Phase 4 Films,tt2134170,5/10
99,The Tomorrow War,Amazon Prime Video,tt9777666,5.8/10
100,The Legend of Sarila,Alliance Films,tt2296935,no_data
101,SX_Tape,01 Distribution,tt2041331,4.5/10
102,Small Faces,no_data,tt0114474,67%
103,Crossroads,Paramount Pictures,tt0275022,4.1/10
104,Vanishing on 7th Street,Magnolia Pictures,tt1452628,5.1/10
105,Return to Paradise,Gramercy Pictures,tt0124595,6.6/10
106,Ramona and Beezus,20th Century Studios,tt0493949,6.2/10
107,Playback,Magnolia Pictures,tt1682940,2.8/10
108,Minority Report,InterCom,tt0181689,8.2/10
109,Cold Case,no_data,no_data,no_data
110,Stay As You Are,New Line Cinema,tt0077373,no_data
111,Kevvu Keka,no_data,tt2433528,no_data
