id,title,director,director gender,distributor,rating score
tt0108041,Sankofa,Haile Gerima,male,,8.2/10
tt5164438,The Starling,Theodore Melfi,male,Netflix,4.2/10
tt15204288,Confessions of an Invisible Girl,,,Netflix,
tt5563324,Intrusion,,,,4.5/10
tt0139872,Avvai Shanmughi,K. S. Ravikumar,male,,
tt0279885,Jeans,Nicolette Krebitz,female,,
tt0282003,Minsara Kanavu,Rajiv Menon,male,AVM Productions,
tt1375670,Grown Ups,Anna Novion,female,Netflix,3.5/10
tt2387433,Dark Skies,Scott Stewart,male,Netflix,41%
tt1413495,Paranoia,Robert Luketic,male,Relativity Media,7%
tt15250998,Ankahi Kahaniya,Ashwiny Iyer Tiwari,female,Netflix,
,The Father Who Moves Mountains,,,,
tt5238240,The Stronghold,Yurii Kovalov,male,,
tt2720826,Birth of the Dragon,George Nolfi,male,Netflix,4.3/10
tt0073195,Jaws,Steven Spielberg,male,Universal Pictures,9.2/10
tt0077766,Jaws 2,Jeannot Szwarc,male,Universal Pictures,5.4/10
tt0093300,Jaws: The Revenge,Joseph Sargent,male,Universal Pictures,2.7/10
tt1599348,Safe House,Daniel Espinosa,male,"('Universal Pictures', 'UIP-Dunafilm')",5.7/10
tt0139654,Training Day,Antoine Fuqua,male,InterCom,6.5/10
tt10521144,Nightbooks,David Yarovesky,male,Netflix,86%
tt10322274,Schumacher,Michael Wech,male,Netflix,
tt8329618,King of Boys,Kemi Adetiba,female,FilmOne,
,Tughlaq Durbar,,,,
tt7737528,Kate,Cedric Nicolas-Troyan,male,Netflix,5.1/10
tt0468536,Prey,Darrell Roodt,male,Netflix,3.6/10
tt15095938,Blood Brothers: Malcolm X & Muhammad Ali,,,,
tt6127004,Paradise Hills,Alice Waddington,female,Samuel Goldwyn Films,63%
tt5691024,Show Dogs,Raja Gosnell,male,InterCom,16%
tt10168094,Shadow Parties,Yemi Amodu,male,Netflix,
tt6167894,Angamaly Diaries,Lijo Jose Pellissery,male,,
tt8009744,Worth,Sara Colangelo,female,,7/10
tt11742798,Afterlife of the Party,Stephen Herek,male,Netflix,5/10
tt0109134,Anjaam,Rahul Rawail,male,,
tt0810784,Bright Star,Jane Campion,female,Netflix,7.3/10
tt4088588,Dhanak,Nagesh Kukunoor,male,PVR Pictures,75%
tt4699202,Gurgaon,,,,
tt1118045,Here and There,Darko Lungulov,male,Gaiam Vivendi Entertainment,67%
tt0199626,In the Cut,Jane Campion,female,Netflix,4.9/10
tt10930586,Shikara,Vidhu Vinod Chopra,male,,
tt0356470,A Cinderella Story,Mark Rosman,male,Netflix,12%
tt0350261,An Unfinished Life,Lasse Hallström,male,Netflix,5.8/10
tt1823672,Chappie,Neill Blomkamp,male,InterCom,4.9/10
tt0109444,Clear and Present Danger,Phillip Noyce,male,Paramount Pictures,6.9/10
tt0106582,Cliffhanger,Renny Harlin,male,InterCom,67%
tt0159365,Cold Mountain,Anthony Minghella,male,Miramax,6.7/10
tt0231402,Crocodile Dundee in Los Angeles,Simon Wincer,male,iTunes,3.6/10
tt0989757,Dear John,Lars-Magnus Lindgren,male,Netflix,4.4/10
tt0097216,Do the Right Thing,Spike Lee,male,Universal Pictures,9.1/10
tt4382872,Extraction,Steven C. Miller,male,Lionsgate Premiere,3.5/10
tt0463998,Freedom Writers,Richard LaGravenese,male,Paramount Pictures,6.3/10
tt1133985,Green Lantern,Martin Campbell,male,Netflix,26%
tt0099800,House Party,Reginald Hudlin,male,Columbia Pictures,7/10
tt0102065,House Party 2,Doug McHenry,male,New Line Cinema,4.5/10
tt0110064,House Party 3,,,New Line Cinema,0%
tt0131436,I Got the Hook Up,Michael Martin,male,Miramax,3.3/10
tt0099834,In Too Deep,Michael Rymer,male,,
tt0439630,Initial D,Andrew Lau,male,Paris Filmes,4.1/10
tt4841640,Janoskians: Untold and Untrue,Brett Weiner,,Netflix,
tt0091369,Labyrinth,András Kovács,male,MOKÉP,75%
tt0892318,Letters to Juliet,Gary Winick,male,Summit Entertainment,5.2/10
tt4006302,Level 16,Danishka Esterhazy,female,,83%
tt0337592,Love Don't Cost a Thing,Troy Beyer,female,Warner Bros.,3.7/10
tt1602479,Love in a Puff,Pang Ho-cheung,male,Media Asia Entertainment Group,
tt0116996,Mars Attacks!,Tim Burton,male,Warner Bros.,6/10
tt5301662,Marshall,Reginald Hudlin,male,Hulu,6.7/10
tt0270980,My Boss's Daughter,David Zucker,male,Netflix,8%
tt0132347,Mystery Men,Kinka Usher,male,Universal Pictures,5.7/10
tt0087843,Once Upon a Time in America,Sergio Leone,male,Netflix,87%
tt0409182,Poseidon,Wolfgang Petersen,male,Netflix,5/10
tt0120014,Rhyme & Reason,Peter Spirer,male,Miramax,6/10
tt1230168,Same Kind of Different as Me,Michael Carney,male,Paramount Pictures,5.8/10
tt0332379,School of Rock,Richard Linklater,male,Paramount Pictures,7.7/10
tt5073746,Snervous Tyler Oakley,,,Netflix,6/10
tt0314353,Tears of the Sun,Antoine Fuqua,male,InterCom,4.9/10
tt0080453,The Blue Lagoon,Frank Launder,male,Columbia Pictures,3.3/10
tt0091129,The Golden Child,Michael Ritchie,male,Paramount Pictures,4.2/10
tt0054953,The Guns of Navarone,J. Lee Thompson,male,Columbia Pictures,7.9/10
tt0120714,The Interview,Seth Rogen,male,Netflix,
tt0057372,The Nutty Professor,Tom Shadyac,male,Paramount Pictures,84%
tt0494652,Welcome Home Roscoe Jenkins,Malcolm D. Lee,male,Universal Pictures,4.5/10
tt0107206,In the Line of Fire,Wolfgang Petersen,male,Columbia Pictures,7.8/10
tt1077097,2 Alone in Paris,Ramzy Bedia,male,Netflix,
tt0135707,Wind River,Taylor Sheridan,male,,
tt1170399,C Kkompany,Sachin Yardi,male,Balaji Motion Pictures,
tt4590256,He's All That,Mark Waters,male,,4/10
tt0488840,Koi Aap Sa,Partho Mitra,male,,
tt0408976,Krishna Cottage,Santram Varma,male,Balaji Motion Pictures,
tt0348662,Kucch To Hai,Anurag Basu,male,,
tt0456500,Kyaa Kool Hai Hum,Sangeeth Sivan,male,Balaji Telefilms,
tt5290620,Kyaa Kool Hain Hum 3,,,Balaji Motion Pictures,
tt2027138,Kyaa Super Kool Hain Hum,Sachin Yardi,male,Netflix,
tt0297241,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,male,Balaji Motion Pictures,
tt1395054,Once Upon a Time in Mumbaai,Milan Luthria,male,Balaji Motion Pictures,
tt1890513,Ragini MMS,Pawan Kripalani,male,,
tt2609218,Ragini MMS 2,Bhushan Patel,male,Balaji Motion Pictures,
tt0811066,Shootout at Lokhandwala,Apoorva Lakhia,male,Netflix,
tt1954206,The Dirty Picture,Milan Luthria,male,Netflix,100%
tt14539744,"Bob Ross: Happy Accidents, Betrayal & Greed",,,,
tt8722624,Really Love,,,Netflix,6.5/10
tt12829958,The Old Ways,,,,7.2/10
tt4779326,The Water Man,David Oyelowo,male,,78%
tt11657662,The Witcher: Nightmare of the Wolf,Kwang Il Han,,Netflix,100%
tt1579550,Gunshot,S. V. Krishna Reddy,male,,
tt3479250,Man in Love,Han Dong-wook,male,Next Entertainment World,
tt6281994,A Faraway Land,,,,
tt1758692,Like Crazy,Drake Doremus,male,Paramount Vantage,6.6/10
tt12881516,Black Island,Miguel Alexandre,male,Netflix,
tt0112553,Bombay,Mani Ratnam,male,Netflix,
tt4271820,O Kadhal Kanmani,Mani Ratnam,male,Studio Green,
tt11594766,The Secret Diary of an Exchange Student,,,Netflix,
tt2463288,Walk of Shame,Steven Brill,male,Big Bang Media,15%
tt0107822,The Piano,Jane Campion,female,MOKÉP,90%
tt15526612,Unroyal,Moses Inwang,male,,
tt10230994,Beckett,Ferdinando Cito Filomarino,male,Netflix,5.3/10
tt9174358,Monster Hunter: Legends of the Guild,,,Netflix,
tt8857316,Brother Jekwu,Charles Uwagbai,male,Netflix,
tt12783454,The Kissing Booth 3,Vince Marcello,male,Netflix,3.6/10
tt2058107,The Railway Man,Jonathan Teplitzky,male,Plaion,6.4/10
tt1441951,Quartet,Dustin Hoffman,male,Netflix,6.6/10
tt6060444,The Paper Tigers,,,,7.1/10
tt13113544,Quam's Money,Kayode Kasum,male,FilmOne,
tt0078350,The Swarm,Irwin Allen,male,Warner Bros.,3.8/10
tt6338498,Vivo,Kirk DeMicco,male,Netflix,
tt2112124,Chennai Express,Rohit Shetty,male,Netflix,5.3/10
,Lady Boss: The Jackie Collins Story,,,,
tt0108291,Tango Feroz,Marcelo Piñeyro,male,,
tt2385126,'76,Izu Ojukwu,male,YouTube,
tt4581576,Aftermath,Paprika Steen,female,Hulu,5.3/10
tt0113280,Heavy,James Mangold,male,Lionsgate Home Entertainment,86%
tt0448375,Beethoven,Brian Levant,male,,
tt0106375,Beethoven's 2nd,Rod Daniel,male,Universal Pictures,4.5/10
tt0442933,Beowulf,Robert Zemeckis,male,Netflix,6.5/10
tt3344680,Boyka: Undisputed,Isaac Florentine,male,Avi Lerner,
tt0264464,Catch Me If You Can,Steven Spielberg,male,Netflix,7.9/10
tt0149261,Deep Blue Sea,Renny Harlin,male,Warner Bros.,5.7/10
tt0091042,Ferris Bueller's Day Off,John Hughes,male,Paramount Pictures,7.7/10
tt6472976,Five Feet Apart,Justin Baldoni,male,Lionsgate,5.7/10
tt0349467,Freedomland,Joe Roth,male,Columbia Pictures,4.6/10
tt0452625,Good Luck Chuck,Mark Helfrich,male,Netflix,3.1/10
tt1375666,Inception,Christopher Nolan,male,InterCom,87%
tt0175880,Magnolia,Paul Thomas Anderson,male,New Line Cinema,83%
tt0110443,Major Payne,Nick Castle,male,Universal Pictures,33%
tt0102492,My Girl,Howard Zieff,male,Netflix,5.7/10
tt0110613,My Girl 2,Howard Zieff,male,Columbia Pictures,4.9/10
tt0910936,Pineapple Express,David Gordon Green,male,Sony Pictures,6.3/10
tt5125894,Poms,,,Diamond Films,4.9/10
tt0329575,Seabiscuit,Gary Ross,male,Universal Pictures,7.1/10
tt0186566,Space Cowboys,Clint Eastwood,male,Warner Bros.,6.8/10
tt0372588,Team America: World Police,Trey Parker,male,Paramount Pictures,7/10
tt1878870,The Edge of Seventeen,Kelly Fremon Craig,female,STX Entertainment,7.9/10
tt1457765,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,male,Lionsgate,3.6/10
tt0102266,The Last Boy Scout,Tony Scott,male,Netflix,5.3/10
tt1189340,The Lincoln Lawyer,Brad Furman,male,Lionsgate,83%
tt0480255,The Losers,Sylvain White,male,Warner Bros.,5.3/10
tt0361862,The Machinist,Brad Anderson,male,Paramount Vantage,6.7/10
tt0113957,The Net,Irwin Winkler,male,InterCom,5.2/10
tt0236388,The Original Kings of Comedy,Spike Lee,male,Hulu,83%
tt0817230,Valentine's Day,Garry Marshall,male,Netflix,4/10
,The Lost Café,,,,
tt0165526,The Vault,Jaume Balagueró,male,,
tt2993406,Eyes of a Thief,Najwa Najjar,female,,
tt11991748,Rurouni Kenshin: The Beginning,Keishi Ōtomo,male,Warner Bros.,
tt0063037,The Last Mercenary,Mel Welles,male,,
tt2662230,Flower Girl,Michelle Bello,female,YouTube,
tt12929990,Resort to Love,Steven Tsuchida,male,Netflix,
tt14315566,Bartkowiak,,,,
tt2186731,Department,Ram Gopal Varma,male,Viacom 18 Motion Pictures,
tt0026718,Mimi,Claire Simon,female,Associated British Picture Corporation,
tt8000718,The Operative,Yuval Adler,male,,41%
tt1853728,Django Unchained,Quentin Tarantino,male,Netflix,87%
tt13920016,African America,,,Netflix,
tt14961160,Bankrolled,,,Netflix,
tt6402468,Blood Red Sky,Peter Thorwarth,male,Netflix,
tt13412252,Kingdom: Ashin of the North,Kim Seong-hun,male,Netflix,
,Chhota Bheem & Ganesh,,,,
tt16235600,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,male,,
,Chhota Bheem And The Broken Amulet,,,,
,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,male,,
tt6417854,Chhota Bheem Aur Hanuman,Rajiv Chilaka,male,,
,Chhota Bheem aur Krishna vs Zimbara,,,,
,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,male,,
,Chhota Bheem: Dholakpur to Kathmandu,,,,
,Chhota Bheem: Journey to Petra,Rajiv Chilaka,male,,
,Chhota Bheem: Master of Shaolin,,,,
tt0097116,Cousins,Briar Grace-Smith,female,Paramount Pictures,5.8/10
tt13445916,Sanitation Day,Seyi Babatope,male,FilmOne,
tt12851396,Trollhunters: Rise of the Titans,Francisco Ruiz-Velasco,,NBCUniversal Syndication Studios,88%
tt9165740,Milkwater,,,,
tt13657102,The Tambour of Retribution,,,,
tt11762434,Cosmic Sin,Edward John Drake,male,,2.6/10
tt4105584,Deep,,,Netflix,4.5/10
tt9701942,Fear Street Part 3: 1666,Leigh Janiak,female,Netflix,7.3/10
tt0066819,The Beguiled,Sofia Coppola,female,Universal Pictures,7.2/10
tt4572792,The Book of Henry,Colin Trevorrow,male,Focus Features,28
tt1325004,The Twilight Saga: Eclipse,David Slade,male,Fórum Hungary,47%
tt1259571,The Twilight Saga: New Moon,Chris Weitz,male,Fórum Hungary,28%
tt0119594,Twilight,Catherine Hardwicke,female,Paramount Pictures,6.1/10
tt0391397,A Perfect Fit,Ron Brown,male,Warner Bros.,
tt14910946,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,male,Netflix,
tt13136084,My Amanda,Alessandra De Rossi,female,,
tt10077998,The Unknown Saint,Alaa Eddine Aljem,male,,93%
tt12877640,A Classic Horror Story,Roberto De Feo,male,Netflix,5.7/10
tt8368408,Gunpowder Milkshake,Navot Papushado,male,Netflix,5.8/10
tt11991786,The Guide to the Perfect Family,Ricardo Trogi,male,,
tt4465572,American Woman,Jake Scott,male,,7.2/10
tt15149712,Day of Destiny,Akhigbe Ilozobhie,,,
tt3316948,American Ultra,Nima Nourizadeh,male,Netflix,5.4/10
tt0996982,The Tour,Goran Marković,male,,
tt9701940,Fear Street Part 2: 1978,Leigh Janiak,female,Netflix,88%
tt13540496,Finding Hubby,Olufemi Ogunsanwo,,,
tt5719700,Home Again,Hallie Meyers-Shyer,female,Global Road Entertainment,32%
,Midnight Sun,Scott Speer,male,,
tt3164256,Rock the Kasbah,Barry Levinson,male,Netflix,7%
tt1430612,Brick Mansions,Camille Delamarre,male,Warner Bros.,4.5/10
tt5599692,Clash,Raphaël Delpard,male,Netflix,7.5/10
tt7601480,Major Grom: Plague Doctor,Oleg Trofim,male,The Walt Disney Company CIS,
tt12424356,Mama Drama,Seyi Babatope,male,,
tt1425624,Therapy,Kenneth Kainz,male,Nordisk Film,
tt11133472,Three Thieves,Fatin Abdel Wahab,male,YouTube,
tt8726116,A Land Imagined,Siew Hua Yeo,male,Netflix,75%
tt9866736,Rise: Ini Kalilah,Saw Teong Hin,male,,
tt0157132,Ujala,Naresh Saigal,,,
tt6566576,Fear Street Part 1: 1994,Leigh Janiak,female,Netflix,83%
tt11027830,Haseen Dillruba,Vinil Mathew,male,,
tt1706620,Snowpiercer,Bong Joon-ho,male,Plaion,8.1/10
tt14781176,The 8th Night,Kim Tae-hyeong,male,Little Big Pictures,63%
tt1072748,Winchester,Michael Spierig,male,CBS Films,3.9/10
tt0118571,Air Force One,Wolfgang Petersen,male,Netflix,7.1/10
tt0295178,Austin Powers in Goldmember,Jay Roach,male,Netflix,5.8/10
tt0118655,Austin Powers: International Man of Mystery,Jay Roach,male,New Line Cinema,6.5/10
tt0145660,Austin Powers: The Spy Who Shagged Me,Jay Roach,male,New Line Cinema,6/10
tt0118749,Boogie Nights,Paul Thomas Anderson,male,New Line Cinema,93%
tt5033998,Charlie's Angels,McG,male,InterCom,5.4/10
tt0112715,Congo,Frank Marshall,male,Paramount Pictures,4/10
tt0106701,Dennis the Menace,Nick Castle,male,Netflix,4.3/10
tt10622410,Dreamy Eyes,Victor Vu,male,,
tt7587604,Dynasty Warriors,Roy Chow Hin Yeung,male,,
tt5153236,Hampstead,Joel Hopkins,male,Entertainment One Films,5/10
tt1055292,Life as We Know It,Greg Berlanti,male,Warner Bros.,29%
tt1258744,Mary Magdalene,Reinhold Schünzel,male,Warner Bros.,
tt0397535,Memoirs of a Geisha,Rob Marshall,male,iTunes,5.4/10
tt0095631,Midnight Run,Martin Brest,male,Universal Pictures,8/10
tt0113855,Mortal Kombat,Paul W. S. Anderson,male,New Line Cinema,4.8/10
tt0081186,Mother's Day,Charlie Kaufman,male,Troma Entertainment,4.9/10
tt0187357,No Strings Attached,Ivan Reitman,male,,
tt0277371,Not Another Teen Movie,Joel Gallen,male,Columbia Pictures,29%
tt5690810,Ophelia,Claire McCarthy,female,IFC Films,5.9/10
tt7615302,Red Joan,Trevor Nunn,male,Cirko Film,5/10
tt0814314,Seven Pounds,Gabriele Muccino,male,Netflix,4.7/10
tt0815236,She's Out of My League,Jim Field Smith,male,UIP-Dunafilm,5.6/10
tt0184907,Snow Day,Chris Koch,male,Paramount Pictures,29%
tt0796366,Star Trek,J. J. Abrams,male,YouTube,7.9/10
tt0164912,Stuart Little,Rob Minkoff,male,Netflix,67%
tt8484012,Sword of Trust,Lynn Shelton,female,IFC Films,93%
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,male,Columbia Pictures,6.6/10
tt1440728,The American,Anton Corbijn,male,Focus Features,6.5/10
tt0054678,The Best of Enemies,Guy Hamilton,male,Columbia Pictures,
tt0119174,The Game,David Fincher,male,"('PolyGram Filmed Entertainment', 'Netflix')",7.4/10
tt1155076,The Karate Kid,Harald Zwart,male,InterCom,66%
tt0091326,The Karate Kid Part II,John G. Avildsen,male,Columbia Pictures,4.9/10
tt0289992,The Life of David Gale,Alan Parker,male,Universal Pictures,4.4/10
tt0081071,The Long Riders,Walter Hill,male,United Artists Corporation,84%
tt0436697,The Queen,Stephen Frears,male,Pathé,
tt0482606,The Strangers,Bryan Bertino,male,Rogue,5.1/10
tt15251228,The Tourist,Florian Henckel von Donnersmarck,male,,
tt0320691,Underworld,Len Wiseman,male,Netflix,4.7/10
tt1496025,Underworld: Awakening,Måns Mårlind,male,InterCom,4.4/10
tt0834001,Underworld: Rise of the Lycans,Patrick Tatopoulos,male,Netflix,29%
tt2603600,Voiceless,Trad Poucette,male,,
tt0120889,What Dreams May Come,Vincent Ward,male,PolyGram Filmed Entertainment,5.7/10
tt0123324,Why Do Fools Fall in Love,Gregory Nava,male,Netflix,5.9/10
tt0071408,Deranged,Alan Ormsby,male,American International Pictures,6.3/10
tt7558302,Lying and Stealing,,,,6/10
tt11460976,Prime Time,Agneta Fagerström-Olsson,female,,
tt1764234,Killing Them Softly,Andrew Dominik,male,Netflix,74%
tt0493464,Wanted,Harald Sicheritz,male,Netflix,6.6/10
tt1735870,Into the Wind,Steve Nash,male,,
tt7080970,Wonder Boy,Dick Lee,male,Golden Village,
tt3758814,The Ice Road,Jonathan Hensleigh,male,Netflix,4.9/10
tt0013590,The Seventh Day,Henry King,male,,
tt8231668,Good on Paper,Kimmy Gatewood,female,Netflix,
tt14549558,The House of Flowers: The Movie,Manolo Caro,male,Netflix,
tt0454839,Broken,Rufus Norris,male,Netflix,
tt0493828,Osuofia in London,Kingsley Ogoro,male,YouTube,
tt3764686,Love Is a Story,Cristina Jacob,female,Netflix,
tt1568815,A Family,Grigori Aleksandrov,male,Nordisk Film,
tt4733624,Fatherhood,Paul Weitz,male,Sony Pictures Releasing,67%
tt10661848,Jagame Thandhiram,Karthik Subbaraj,male,,
tt11831084,Kambili: The Whole 30 Yards,Kayode Kasum,male,,
tt11809034,Rurouni Kenshin: The Final,Keishi Ōtomo,male,Warner Bros.,
tt11271990,Ali & Ratu Ratu Queens,Lucky Kuswandi,male,,
tt0080403,Aziza,Soudade Kaadan,female,,
tt4661188,Besieged Bread,Soudade Kaadan,female,,
tt4146132,Fan Girl,Antoinette Jadaone,female,Freeform,
tt6670074,Red Snow,Marie Clements,female,,
tt1045658,Silver Linings Playbook,David O. Russell,male,Netflix,8.2/10
tt11188850,Biking Borders,,,,
tt1366338,Lowriders,Ricardo de Montreuil,male,Blumhouse Productions,5.9/10
tt3501112,Security,Alain DesRochers,male,Netflix,
tt0132513,Silver Skates,Leslie Goodwins,male,,
tt1663207,Life of Crime,Daniel Schechter,male,Lionsgate,5.9/10
tt0469589,Sir! No Sir!,David Zeiger,male,Netflix,7.2/10
tt7646322,The Devil Below,,,,0%
tt6964940,Skater Girl,Manjari Makijany,female,,
tt2828996,A Haunted House 2,Michael Tiddes,male,Global Road Entertainment,2.4/10
tt1918638,Blind Intersections,,,,
tt2459156,Copenhagen,Mark Raso,male,Netflix,7.2/10
tt7741602,Until Midnight,Tariq AlKazim,male,,
tt13292444,Awake,Joby Harold,male,Kino Films,
tt3012648,Confusion Na Wa,Kenneth Gyang,male,Netflix,4 of 5
tt12792598,Tragic Jungle,Yulene Olaizola,female,,6.5/10
tt2368254,A Private War,Matthew Heineman,male,,7.1/10
tt11822492,Small Chops,Robert O. Peters,male,FilmOne Entertainment,
tt10888862,Sweet & Sour,Lee Kae-byeok,male,Red Bull Media House,
,Trippin' with the Kandasamys,,,,
tt11658120,Xtreme,Daniel Benmayor,male,Netflix,
tt13032716,Dancing Queens,Helena Bergström,female,,
tt5616176,2 Hearts,Lance Hool,male,Freestyle Releasing,4.4/10
tt1823059,A Perfect Ending,Nicole Conn,female,Netflix,
tt0244000,American Outlaws,Les Mayfield,male,Warner Bros.,3.7/10
tt1123894,And Then Came Lola,,,Netflix,
tt0185183,Battlefield Earth,Roger Christian,male,Netflix,2.8/10
tt0139098,Carnaval,Henri Verneuil,male,,
tt1466054,Cloudburst,Thom Fitzgerald,male,Sidney Kimmel Entertainment,100%
tt2555426,Company of Heroes,Don Michael Paul,male,Sony Pictures,
tt0306685,Cradle 2 the Grave,Andrzej Bartkowiak,male,Netflix,26%
tt0249478,Domestic Disturbance,Harold Becker,male,Paramount Pictures,4/10
tt1117385,Felon,Ric Roman Waugh,male,Sony Pictures Home Entertainment,
tt0817177,Flipped,Rob Reiner,male,Warner Bros.,6/10
tt0041379,Fools Rush In,Andy Tennant,male,General Film Distributors,
tt10377292,Gold Statue,Tade Ogidan,male,,
tt1255916,Hostel: Part III,Scott Spiegel,male,InterCom,6.3/10
tt0277027,I Am Sam,Jessie Nelson,female,New Line Cinema,4.8/10
tt0119572,Love Jones,Theodore Witcher,,New Line Cinema,6.5/10
tt0405159,Million Dollar Baby,Clint Eastwood,male,Warner Bros.,90%
tt1978480,Mosquita y Mari,Aurora Guerrero,female,,7.4/10
tt1754264,Never Back Down 2: The Beatdown,Michael Jai White,male,Stage 6 Films,
tt1186367,Ninja Assassin,James McTeigue,male,Warner Bros.,4.4/10
tt0462482,Population 436,Michelle MacLaren,female,Sony Pictures Home Entertainment,
tt3776288,Sniper: Legacy,Don Michael Paul,male,Destination Films,
tt0335438,Starsky & Hutch,Todd Phillips,male,Warner Bros.,6/10
tt0088194,Streets of Fire,Walter Hill,male,Universal Pictures,69%
tt14586752,Super Monsters: Once Upon a Rhyme,,,,
tt0244244,Swordfish,Dominic Sena,male,Netflix,4.4/10
tt0079216,The Four Seasons,Alan Alda,male,,
tt1254322,The Girl King,Mika Kaurismäki,male,ADS Service,4.8/10
tt0373926,The Interpreter,Sydney Pollack,male,UIP-Dunafilm,6/10
tt4501454,The Meddler,Lorene Scafaria,female,Netflix,85%
tt0117057,The Mirror Has Two Faces,Barbra Streisand,female,TriStar Pictures,5.8/10
tt0075029,The Outlaw Josey Wales,Clint Eastwood,male,Warner Bros.,90%
tt7645780,The Wedding Guest,Michael Winterbottom,male,IFC Films,5.6/10
tt0019585,The Wind,Emma Tammi,female,Metro-Goldwyn-Mayer,
tt4859168,Then Came You,Peter Hutchings,male,,5.7/10
tt0098631,Welcome Home,Franklin J. Schaffner,male,Columbia Pictures,
tt14544192,Bo Burnham: Inside,Bo Burnham,male,Netflix,93%
tt14211236,One Lagos Night,Ekene Som Mekwunye,male,,
tt4682786,Collateral Beauty,David Frankel,male,Warner Bros.,14%
tt7084386,Blue Miracle,,,,5.9/10
tt13446126,Ghost Lab,Paween Purijitpanya,male,Netflix,
