id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
no_data,Blood & Water,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
no_data,Ganglands,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt9839146,Blood & Water,no_data,no_data,Netflix,80,Blood & Water,2020-05-20,,"Ama Qamata, Khosi Ngema, Gail Mabalane",South Africa,English,TV-MA,6.6,3168,,,"secret,high school,friendship,school,student","Awards, 3 wins & 6 nominations",2020.0
tt10574558,Midnight Mass,Mike Flanagan,male,Netflix,86,Midnight Mass,2021-09-24,,"Kate Siegel, Zach Gilford, Kristin Lehman",USA,English,TV-MA,7.7,110057,,,"island,vampire,community,secret,tv mini series","Nominated for 1 Primetime Emmy, 4 wins & 29 nominations total",2021.0
tt1877368,The Great British Baking Show,no_data,no_data,BBC One,89,The Great British Baking Show,2014-12-27,,"Paul Hollywood, Mary Berry, Sue Perkins",UK,English,TV-PG,8.6,10022,,,"baking competition,baking bread,baker,food tasting,amateur","Won 2 BAFTA Awards, 10 wins & 21 nominations total",2014.0
tt14216574,"Vendetta: Truth, Lies and The Mafia",no_data,no_data,"Mon Amour Film, Nutopia",,Vendetta: Guerra nell'antimafia,2021-09-24,,"Pino Maniaci, Silvana Saguto, Bartolomeo Parrino","UK, Italy","English, Italian",TV-MA,6.7,278,,,tv mini series,,2021.0
tt14178956,Crime Stories: India Detectives,no_data,no_data,"Minnow Films, Netflix Studios",,Crime Stories: India Detectives,2021-09-22,,"N. Shashi Kumar, Latha Mahesh, V. Dhananjaya",India,Kannada,TV-MA,7.1,1043,,,"murder,criminal,detective,india,investigation",,2021.0
tt5707802,Dear White People,no_data,no_data,Netflix,86,Dear White People,2017-04-28,,"Logan Browning, Brandon P Bell, DeRon Horton",USA,English,TV-MA,6.1,25382,,,"whites as a people,based on film,college,university,academy","Awards, 5 wins & 36 nominations",2017.0
tt8598690,Falsa identidad,no_data,no_data,Telemundo,,False Identity,2018-09-11,,"Luis Ernesto Franco, Samadhi Zendejas, Eduardo Yáñez",Mexico,Spanish,TV-14,7,362,,,,"Awards, 2 nominations",2018.0
tt11698590,Jaguar,Carlos Sedes,male,Bambú Producciones,,Jaguar,2021-09-22,,"Blanca Suárez, Iván Marcos, Óscar Casas",Spain,Spanish,TV-14,5.7,1826,,,"home,1960s,justice,world war,survive",,2021.0
tt15287836,Monsters Inside: The 24 Faces of Billy Milligan,no_data,no_data,Netflix,,Monsters Inside: The 24 Faces of Billy Milligan,2021-09-22,,"Kathy Preston, Bob Ruth, Sheila Porter",USA,"English, French",TV-MA,6.2,3703,,,"tv mini series,timeframe 1970s,true crime,rape,rapist",,2021.0
no_data,Chicago Party Aunt,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt7767422,Sex Education,no_data,no_data,Netflix,95,Sex Education,2019-01-11,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",UK,English,TV-MA,8.4,272071,,,"gay best friend,gay,gay teenager,mother son relationship,sex therapy","Won 1 BAFTA Award, 16 wins & 60 nominations total",2019.0
tt10919420,Squid Game,Hwang Dong-hyeok,male,Netflix,93,Squid Game,2021-09-17,,"Lee Jung-jae, Park Hae-soo, Hoyeon",South Korea,"Korean, English, Urdu",TV-MA,8,432620,,,"game of death,survival,death,game,blood","Won 4 Primetime Emmys, 37 wins & 74 nominations total",2021.0
no_data,Chhota Bheem,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt0126158,He-Man and the Masters of the Universe,Hal Sutherland,male,broadcast syndication,100,He-Man and the Masters of the Universe,1983-09-26,,"John Erwin, Alan Oppenheimer, Linda Gary",USA,English,TV-Y7,7.5,18609,,,"masters of the universe,warrior,sword,castle,based on toy","Awards, 1 win & 3 nominations",1983.0
no_data,The Smart Money Woman,no_data,no_data,Netflix,no_data,,,,,,,,,,,,,,
tt0096694,Saved by the Bell,no_data,no_data,NBC,,Saved by the Bell,1989-08-20,,"Mark-Paul Gosselaar, Mario Lopez, Dustin Diamond",USA,English,TV-PG,7.1,35211,,,"african american,blonde,school life,laughter,morning","Awards, 6 wins & 26 nominations",1989.0
tt4853764,Stories by Rabindranath Tagore,no_data,no_data,Ishana Movies,,Stories by Rabindranath Tagore,2015-07-06,,"Bhanu Uday, Atul Srivastava, Radhika Apte",India,"Hindi, Bengali",,8.7,1342,,,life,,2015.0
tt7453996,Jack Whitehall: Travels with My Father,no_data,no_data,Netflix,82,Jack Whitehall: Travels with My Father,2017-09-22,,"Jack Whitehall, Michael Whitehall, Hilary Whitehall",UK,English,TV-MA,7.6,5564,,,"southeast asia,thailand,cambodia,vietnam,gap year",,2017.0
tt4052886,Lucifer,Kevin Alejandro,male,Netflix,88,Lucifer,2016-01-25,,"Tom Ellis, Lauren German, Kevin Alejandro",USA,English,TV-14,8.1,317570,,,"devil,female police detective,fallen angel,the devil,lapd","Nominated for 1 Primetime Emmy, 2 wins & 20 nominations total",2016.0
tt10919486,Into the Night,no_data,no_data,Netflix,88,Into the Night,2020-05-01,,"Pauline Etienne, Laurent Capelluto, Mehmet Kurtulus",Belgium,"French, Flemish, English, Italian, Turkish, Arabic, Russian, Bulgarian, Mandarin, Polish",TV-MA,7.1,31964,,,"airplane pilot,end of the world,apocalypse,extinction event,human extinction",,2020.0
no_data,The Circle,no_data,no_data,Network 10,no_data,,,,,,,,,,,,,,
tt5540990,On the Verge,no_data,no_data,"The Film TV, Canal+, Netflix",,On the Verge,2021-09-07,,"Julie Delpy, Elisabeth Shue, Sarah Jones","France, USA",English,TV-14,6.5,3146,,,"senior citizens,aging,geriatric,aged,canal","Awards, 1 nomination",2021.0
tt15166116,Countdown: Inspiration4 Mission to Space,no_data,no_data,Netflix,,Countdown: Inspiration4 Mission to Space,2021-09-06,,"Sian Proctor, Jared Isaacman, Christopher Sembroski",USA,English,TV-14,7.8,1902,,,"space station,galaxy,mission,exploration,trip","Awards, 1 nomination",2021.0
tt4591680,Bunk'd,Bob Koherr,male,Disney Channel,,Bunk'd,2015-07-31,,"Miranda May, Mallory James Mahoney, Raphael Alejandro",USA,English,TV-G,5.3,3338,,,"camp,teenager,13 year old,laugh track,teen comedy","Awards, 3 wins & 19 nominations",2015.0
tt13275052,Dive Club,no_data,no_data,"The Steve Jaggi Company, Filmology Finance",,Dive Club,2021-09-03,,"Miah Madden, Georgia-May Davis, Sana'a Shaik",Australia,English,TV-PG,6.1,902,,,"dive,small town,girl,sea,ocean","Awards, 2 nominations",2021.0
tt15384346,Money Heist: From Tokyo to Berlin,no_data,no_data,,,Money Heist: From Tokyo to Berlin,2021-09-03,,"Jesús Colmenar, Rodrigo de la Serna, Pedro Alonso",Spain,Spanish,,7.6,909,,,tv mini series,,2021.0
tt12211696,Sharkdog,no_data,no_data,Netflix,,Sharkdog,2021-09-03,,"Liam Mitchell, Dee Bradley Baker, Liz Burnette","USA, Singapore",English,TV-Y,5.8,174,,,"friend,shark,dog,animal,best friend",,2021.0
tt10140028,Q-Force,no_data,no_data,Netflix,29,Q-Force,2021-09-02,,"Gary Cole, David Harbour, Patti Harrison",USA,English,TV-MA,6.3,5532,,,"lgbt,gay,agent,spy,fiction","Awards, 2 nominations",2021.0
tt0096643,Major Dad,no_data,no_data,CBS,,Major Dad,1989-09-17,,"Gerald McRaney, Shanna Reed, Nicole Dubuc",USA,English,,6.5,2971,,,"sitcom,family relationships,sergeant,u.s. marine corps","Nominated for 1 Primetime Emmy, 2 wins & 8 nominations total",1989.0
tt15260794,Turning Point: 9/11 and the War on Terror,no_data,no_data,Netflix,,Turning Point: 9/11 and the War on Terror,2021-09-01,,James LaPorta,USA,English,TV-14,8,9420,,,"terrorism in the united states,reference to 9 11,9 11,world trade center manhattan new york city,terror",,2021.0
tt14518756,Hometown Cha-Cha-Cha,no_data,no_data,"GT:st, Studio Dragon",,Hometown Cha-Cha-Cha,2021-08-28,,"Shin Min-a, Kim Seon-Ho, Gina Su",South Korea,Korean,TV-14,8.4,11818,,,"smart,village,love,parent,house beautiful",,2021.0
tt12912830,Bread Barbershop,no_data,no_data,,,Bread Barbershop,2020-08-15,,"Marc Thompson, Elinor Vanderburg, Courtney Shaw",South Korea,English,TV-Y,7.2,143,,,,,2020.0
