,id,title,year
0,tt11394180,Dick Johnson Is Dead,2020
1,tt0108041,Sankofa,1993
2,tt5164438,The Starling,2021
3,tt15204288,Confessions of an Invisible Girl,2021
4,tt0139872,Avvai Shanmughi,1996
5,tt0282003,Minsara Kanavu,1997
6,tt1375670,Grown Ups,2010
7,tt2387433,Dark Skies,2013
8,tt1413495,Paranoia,2013
9,tt15250998,Ankahi Kahaniya,2021
10,tt10404944,The Stronghold,2021
11,tt2720826,Birth of the Dragon,2017
12,tt0073195,Jaws,1975
13,tt0077766,Jaws 2,1978
14,tt0093300,Jaws: The Revenge,1987
15,tt1599348,Safe House,2012
16,tt0139654,Training Day,2001
17,tt10521144,Nightbooks,2021
18,tt10322274,Schumacher,2021
19,tt8329618,King of Boys,2018
20,tt7737528,Kate,2021
21,tt15198608,Prey,2021
22,tt15095938,Blood Brothers: Malcolm X & Muhammad Ali,2021
23,tt6127004,Paradise Hills,2019
24,tt5691024,Show Dogs,2018
25,tt15101938,Untold: Breaking Point,2021
26,tt10168094,Shadow Parties,2020
27,tt6167894,Angamaly Diaries,2017
28,tt8009744,Worth,2021
29,tt11742798,Afterlife of the Party,2021
30,tt0109134,Anjaam,1994
31,tt0810784,Bright Star,2009
32,tt4088588,Dhanak,2015
33,tt12789212,Final Account,2021
34,tt4699202,Gurgaon,2017
35,tt0199626,In the Cut,2003
36,tt10930586,Shikara,2020
37,tt0356470,A Cinderella Story,2004
38,tt0350261,An Unfinished Life,2005
39,tt1823672,Chappie,2015
40,tt0109444,Clear and Present Danger,1994
41,tt0106582,Cliffhanger,1993
42,tt0159365,Cold Mountain,2003
43,tt0231402,Crocodile Dundee in Los Angeles,2001
44,tt0989757,Dear John,2010
45,tt0097216,Do the Right Thing,1989
46,tt4382872,Extraction,2015
47,tt0463998,Freedom Writers,2007
48,tt1133985,Green Lantern,2011
49,tt0099800,House Party,1990
50,tt0102065,House Party 2,1991
51,tt0110064,House Party 3,1994
52,tt0131436,I Got the Hook Up,1998
53,tt0160401,In Too Deep,1999
54,tt0439630,Initial D,2005
55,tt0091369,Labyrinth,1986
56,tt0892318,Letters to Juliet,2010
57,tt4006302,Level 16,2018
58,tt0337592,Love Don't Cost a Thing,2003
59,tt1602479,Love in a Puff,2010
60,tt0116996,Mars Attacks!,1996
61,tt5301662,Marshall,2017
62,tt0270980,My Boss's Daughter,2003
63,tt0132347,Mystery Men,1999
64,tt0087843,Once Upon a Time in America,1984
65,tt0409182,Poseidon,2006
66,tt0120014,Rhyme & Reason,1997
67,tt1230168,Same Kind of Different as Me,2017
68,tt0332379,School of Rock,2003
69,tt5073746,Snervous Tyler Oakley,2015
70,tt0314353,Tears of the Sun,2003
71,tt0080453,The Blue Lagoon,1980
72,tt0091129,The Golden Child,1986
73,tt0054953,The Guns of Navarone,1961
74,tt2788710,The Interview,2014
