,title,director,director gender,distributor,id,rating score
0,Sankofa,Haile Gerima,male,no_data,tt0108041,8.2/10
1,The Starling,Theodore Melfi,male,Netflix,tt5164438,4.2/10
2,Confessions of an Invisible Girl,no_data,no_data,Netflix,tt15204288,no_data
3,Intrusion,no_data,no_data,no_data,tt5563324,4.5/10
4,Avvai Shanmughi,K. S. Ravikumar,male,no_data,tt0139872,no_data
5,Jeans,Nicolette Krebitz,female,no_data,tt0279885,no_data
6,Minsara Kanavu,Rajiv Menon,male,AVM Productions,tt0282003,no_data
7,Grown Ups,Anna Novion,female,Netflix,tt1375670,3.5/10
8,Dark Skies,Scott Stewart,male,Netflix,tt2387433,41%
9,Paranoia,Robert Luketic,male,Relativity Media,tt1413495,7%
10,Ankahi Kahaniya,Ashwiny Iyer Tiwari,female,Netflix,tt15250998,no_data
11,The Father Who Moves Mountains,no_data,no_data,no_data,no_data,no_data
12,The Stronghold,Yurii Kovalov,male,no_data,tt5238240,no_data
13,Birth of the Dragon,George Nolfi,male,Netflix,tt2720826,4.3/10
14,Jaws,Steven Spielberg,male,Universal Pictures,tt0073195,9.2/10
15,Jaws 2,Jeannot Szwarc,male,Universal Pictures,tt0077766,5.4/10
16,Jaws: The Revenge,Joseph Sargent,male,Universal Pictures,tt0093300,2.7/10
17,Safe House,Daniel Espinosa,male,"('Universal Pictures', 'UIP-Dunafilm')",tt1599348,5.7/10
18,Training Day,Antoine Fuqua,male,InterCom,tt0139654,6.5/10
19,Nightbooks,David Yarovesky,male,Netflix,tt10521144,86%
20,Schumacher,Michael Wech,male,Netflix,tt10322274,no_data
21,King of Boys,Kemi Adetiba,female,FilmOne,tt8329618,no_data
22,Tughlaq Durbar,no_data,no_data,no_data,no_data,no_data
23,Kate,Cedric Nicolas-Troyan,male,Netflix,tt7737528,5.1/10
24,Prey,Darrell Roodt,male,Netflix,tt0468536,3.6/10
25,Blood Brothers: Malcolm X & Muhammad Ali,no_data,no_data,no_data,tt15095938,no_data
26,Paradise Hills,Alice Waddington,female,Samuel Goldwyn Films,tt6127004,63%
27,Show Dogs,Raja Gosnell,male,InterCom,tt5691024,16%
28,Shadow Parties,Yemi Amodu,male,Netflix,tt10168094,no_data
29,Angamaly Diaries,Lijo Jose Pellissery,male,no_data,tt6167894,no_data
30,Worth,Sara Colangelo,female,no_data,tt8009744,7/10
