,id,title,year
0,tt7133686,Next Gen,2018
1,tt6186696,The Most Assassinated Woman in the World,2018
2,tt2338151,PK,2014
3,tt7448180,The Debt Collector,2018
4,tt6183834,Carbon,2017
5,tt7981260,Garbage,2018
6,tt4232066,Once Again,2018
7,tt7222552,Sparring,2017
8,tt6053938,The Laws of Thermodynamics,2018
9,tt6170954,Naam Shabana,2017
10,tt7399470,Qarib Qarib Singlle,2017
11,tt6522546,Spyder,2017
12,tt3960240,The After Party,2018
13,tt6967980,Bareilly Ki Barfi,2017
14,tt6485666,Mersal,2017
15,tt5690142,Mom,2017
16,tt7218518,Pad Man,2018
17,tt5451244,The Motive,2017
18,tt6129302,Bhavesh Joshi Superhero,2018
19,tt1289403,The Guernsey Literary and Potato Peel Pie Society,2018
20,tt7525778,The Package,2018
21,tt7841496,Perdida,2018
22,tt2372678,2 States,2014
23,tt6514010,Brij Mohan Amar Rahe,2018
24,tt7170950,Like Father,2018
25,tt1629376,7 Khoon Maaf,2011
26,tt1841542,Chillar Party,2011
27,tt0964516,Fashion,2008
28,tt4399594,Fitoor,2016
29,tt0248012,Fiza,2000
30,tt1438298,Guzaarish,2010
31,tt3390572,Haider,2014
32,tt2980794,Highway,2014
33,tt1667838,I Hate Luv Storys,2010
34,tt1918886,Joker,2012
35,tt3859980,Mohenjo Daro,2016
36,tt1291465,Raajneeti,2010
37,tt0405508,Rang De Basanti,2006
38,tt2077833,Rowdy Rathore,2012
39,tt3148502,Tamasha,2015
40,tt2130242,Tere Naal Love Ho Gaya,2012
41,tt1720254,Thank You,2011
42,tt0457802,The Blue Umbrella,2005
43,tt6596630,Invisible,2017
44,tt1859607,Kath & Kimderella,2012
45,tt3201640,Extinction,2018
46,tt8106576,The Bleeding Edge,2018
47,tt8697266,Iliza Shlesinger: Elder Millennial,2018
48,tt3711510,The Warning,2018
49,tt7256866,Father of the Year,2018
50,tt6910020,Nothing to Lose,2018
51,tt7104578,Going for Gold,2018
52,tt5246700,How It Ends,2018
53,tt4762824,The Legacy of a Whitetail Deer Hunter,2018
54,tt6347150,The Skin of the Wolf,2018
55,tt0800981,Anthony Kaun Hai?,2006
