,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
0,A New Age of Walls team,none,"In the United States, Donald Trump’s call to build a wall along the US-Mexico border was a central theme to his campaign for presidency. In response, The Washington Post assembled a small team to investigate the complex socio-economic ramifications of the phenomenon of governments erecting barriers.

	Samuel Granados, senior graphics editor, led the team effort to create a digital story that would provide high-level analysis of the global trend while also conveying the emotional human experiences on both sides of border walls. Zoeann Murphy, a video journalist who spent more than a decade documenting refugees and migration issues, led the video and photography components of the project. Kevin Schaul, an award-winning visual journalist, reported and built the backend of the pioneering new storytelling platform, where the user can smoothly scroll through interwoven video, text, and graphics. Berlin bureau chief Anthony Faiola added extensive experience reporting on globalization and writing. The team worked closely for several months on both the narrative and the design of the platform.

	The project was a close collaboration between The Washington Post’s graphics, video, and foreign desks. Kat Downs, graphics director, is at the forefront of interaction design and pushed the project to use advanced metrics analysis to better understanding user behavior. Reem Akkad, senior producer of video, had worked on dozens of documentaries and oversaw the video editing. The Washington Post’s foreign editor, Douglas Jehl, brought to the project the talent and vision of his international teams, including reporting from Anthony Faiola and Stephanie Kirchner in Europe, Joshua Partlow in Mexico, and William Booth and Ruth Eglash in Israel.","{'Zoeann Murphy', 'Reem Akkad', 'Douglas Jehl', 'Samuel Granados', 'Donald Trump’s', 'Stephanie Kirchner', 'William Booth', 'Ruth Eglash', 'Kevin Schaul', 'Anthony Faiola', 'Joshua Partlow', 'Kat Downs'}",12,"{'The Washington Post’s', 'The Washington Post'}",2,"{'Berlin', 'Israel', 'Mexico', 'US', 'the United States'}",5
1,A. Wildenberg,France,,set(),0,set(),0,set(),0
2,Aapo Huhta,Finland,"Aapo Huhta received his MA in photography from the Aalto University of Arts and Design in Finland and has had solo exhibitions in Berlin, Stockholm and cities around Finland. In 2014, he was named one of Magnum Photos' Top 30 under 30 and received the PDN Photo Annual Student Prize. He was also named the Young Nordic Photographer of the Year by Fotografiska in 2015. His work has been published in GUP Magazine, Fotografia Magazine, Vice Magazine, and on Lens Culture, among others.",{'Aapo Huhta'},1,"{'the Aalto University of Arts and Design', 'MA', ""Magnum Photos'"", 'the\xa0Young Nordic Photographer of the Year'}",4,"{'Berlin', 'Stockholm', 'Finland'}",3
3,Aaron Goodman,none,"His research and documentary production focus on counter-narratives about long-term heroin users, natural death and dying, and survivors of genocide and mass trauma. He has 15 years’ experience as a multimedia producer, video journalist, and documentary maker. His news, features and documentaries have been broadcast by CBC Radio, PBS Frontline/WORLD, VOA, Al Jazeera English, CNN and Associated Press Television News. His writing has been published by the Toronto Star, National Post, Ottawa Citizen, Calgary Herald, Vancouver Sun, Reuters, Alert Net, Inter Press News Service, VOA, and others.","{'Alert Net', 'Calgary Herald'}",2,"{'Ottawa Citizen', 'National Post', 'PBS Frontline/WORLD', 'Reuters', 'the Toronto Star', 'Inter Press News Service', 'Al Jazeera English', 'VOA', 'Vancouver Sun', 'Associated Press Television News', 'CBC Radio', 'CNN'}",12,set(),0
4,Aaron Huey,USA,"Aaron Huey is a National Geographic photographer, and a Harper’s Magazine contributing editor. He is only the second photographer to occupy the Harper’s masthead in its 162-year history. Huey was a 2012 Stanford Knight Journalism Fellow, where he worked on new media models for community storytelling. He is widely known for his 3,349-mile solo walk across America (with his dog Cosmo). The 2002 journey lasted 154 days. There was no media coverage; they walked every step. He now lives in Seattle, USA.",{'Aaron Huey'},1,"{'Harper', 'Harper’s Magazine', 'National Geographic'}",3,"{'USA', 'America', 'Seattle'}",3
5,Abbas Kowsari,Iran,"Abbas Kowsari is the senior photo editor for Shargh Daily, a reformist newspaper in Iran, and for Aftab Network Magazine. He currently lives and works in Tehran and is represented by Ag Galerie. His work is exhibited regularly in both Iran and abroad.

Kowsari began his career as a photojournalist for the Tehran Times Daily in 1994. He has worked for numerous Iranian newspapers, several of which have since been shut down. His photographs have been published in many international publications including Paris Match, Der Spiegel, Colors Magazine from Benetton Group, Time Magazine, The New York Times, among many other publications.  

In Kowsari’s carefully observed and composed photographs, scenes of life in Iran are given a theatrical, almost epic presence. 

In 2009 he was shortlisted for the Prix Pictet for Shade of Earth (2007), which documents the pilgrimage made each spring to the battlefields of the Iran-Iraq War. He was also a finalist in the Magic of Persia Contemporary Art Prize, London (2009). 


World Press Photo Involvement:
2022 World Press Photo Contest jury member

Abbas Kowsari on Social Media: 
Instagram: @abbaskowsari
Twitter: @abbaskowsari Portrait credit: Mehdi Hasani","{'Der Spiegel', 'Mehdi Hasani', 'Ag Galerie', '@abbaskowsari Portrait', 'Kowsari', 'Abbas Kowsari', 'Paris Match'}",7,"{'the Tehran Times Daily', 'Shargh Daily', 'Colors Magazine', 'Aftab Network Magazine', '@abbaskowsari', 'Benetton Group', 'World Press Photo Involvement', 'Kowsari', 'the Prix Pictet for Shade of Earth (', 'Time Magazine', 'The New York Times', 'Social Media'}",12,"{'Iran', 'Tehran', 'London'}",3
6,Abbie Trayler-Smith,UK,"Abbie Trayler-Smith is a documentary and portrait photographer. She grew up in South Wales before moving to London where she studied law at Kings College. Trayler-Smith began working regularly as a photographer for the Daily Telegraph in 1998; here she spent eight years covering news and features worldwide, including the war in Iraq, the Darfur crisis and the Asian tsunami. In 2007, she joined Panos Pictures. Her work has been widely published and exhibited internationally as well as receiving many awards. Her first major work, ""Still Human Still Here,"" was exhibited at HOST Gallery in London in 2009, along with an award-winning accompanying multimedia short film. In 2013 she became a member of A Fine Beginning, the Welsh photography collective. Based in the UK, she is currently working on a long-term personal project called ""The Big O"" on childhood obesity. It was from this work that her portrait of Chelsea won 4th prize in The National Portrait Gallery’s Taylor Wessing Prize, London.","{'Abbie Trayler-Smith', 'Welsh', 'Taylor Wessing Prize'}",3,"{'the Daily Telegraph', 'The National Portrait Gallery’s', 'Chelsea', 'Panos Pictures', 'A Fine Beginning', 'Trayler-Smith', 'HOST Gallery', 'Kings College'}",8,"{'Iraq', 'London', 'South Wales', 'UK', 'Darfur'}",5
7,Abby Nicolas,USA,"Abby Nicolas is a photo editor on staff at Sports Illustrated. She edits for an array of sports with a focus on anthropologic, long-form human-interest stories.

She was born in Boston, and now works and resides in New York City. She is also a photo editor for Sports Illustrated Kids, Sports Illustrated Presents and si.com, as well as New York Times bestselling books for Time Inc. and Penguin Random House. Recently, she has focused on stories or the magazine that encompass a shifting political sports landscape both in the US and internationally.

In addition to photo editing at Sports Illustrated magazine, she shoots athletic portraits that have appeared both in print and online. She has also edited for numerous portfolio reviews in New York over the past two years.

Nicolas holds a Bachelor of Fine Arts in photography from Parsons School of Design as well as Bachelors degree in anthropology from Eugene Lang School of Liberal Arts. 

In addition to photo editing and her personal photography endeavors, Nicolas is a small business owner in Brooklyn, New York and is an active member of her local creative community.


Instagram: @crabbynicolas Portrait credit: Taylor Ballantyne","{'Nicolas', 'Taylor Ballantyne', '@crabbynicolas Portrait', 'Abby Nicolas'}",4,"{'Parsons School of Design', 'Time Inc.', 'New York Times', 'Nicolas', 'Sports Illustrated', 'Eugene Lang School of Liberal Arts', 'Penguin Random House', 'Sports Illustrated Kids, Sports Illustrated Presents'}",8,"{'Brooklyn', 'Boston', 'US', 'New York City', 'New York'}",5
8,Abd Doumany,none,"Before the war broke out, Doumany was completing his medical studies to become a dentist, but he stopped his university courses in the third year after he participated in a peaceful protest in Douma which was crushed by the security forces. It’s at that point that Doumany started thinking of taking pictures to document what was going on and let it reach the world opinion in the absence of free press or neutral reporters in Syria.

	He began taking photos with his iPhone to avoid being visible and getting arrested. Later, he started using his ordinary digital camera and worked on developing his skill in the field as he had no formal photojournalism training.

	Doumany started his career in photojournalism as a freelance photographer with Reuters in 2013, then he continued covering the Syrian conflict as of April 2014 with Agence France-Presse, upon recovering from an 18-month injury to his leg as a result of sniper fire. He sees it as his duty to document his people’s suffering. Doumany is also a volunteer with the Syrian Red Cross as a paramedic.

	In 2015, he was awarded the silver prize of the China International Press Photo Contest War and Disaster News with his portfolio on the Syria conflict and won in 2016 the first place in Spot News of the Pictures of the Year International.",{'Doumany'},1,"{'Agence France-Presse', 'Reuters', 'Disaster News', 'the China International Press Photo Contest War', 'Spot News of the Pictures of the Year International', 'iPhone', 'the Syrian Red Cross'}",7,"{'Douma', 'Syria', 'Doumany'}",3
9,Abdellah Azizi,Morocco,"Abdellah Azizi (Morocco, 1987) studied cinematographic lighting techniques at a specialized college in his hometown of Ouarzazate. After further film and editing studies in Casablanca, he worked as camera and lighting assistant on several productions. He also contributed to a local e-magazine.",{'Abdellah Azizi'},1,{'Ouarzazate'},1,"{'Morocco', 'Casablanca'}",2
