,id,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
0,0,A New Age of Walls team,none,"In the United States, Donald Trump’s call to build a wall along the US-Mexico border was a central theme to his campaign for presidency. In response, The Washington Post assembled a small team to investigate the complex socio-economic ramifications of the phenomenon of governments erecting barriers.

	Samuel Granados, senior graphics editor, led the team effort to create a digital story that would provide high-level analysis of the global trend while also conveying the emotional human experiences on both sides of border walls. Zoeann Murphy, a video journalist who spent more than a decade documenting refugees and migration issues, led the video and photography components of the project. Kevin Schaul, an award-winning visual journalist, reported and built the backend of the pioneering new storytelling platform, where the user can smoothly scroll through interwoven video, text, and graphics. Berlin bureau chief Anthony Faiola added extensive experience reporting on globalization and writing. The team worked closely for several months on both the narrative and the design of the platform.

	The project was a close collaboration between The Washington Post’s graphics, video, and foreign desks. Kat Downs, graphics director, is at the forefront of interaction design and pushed the project to use advanced metrics analysis to better understanding user behavior. Reem Akkad, senior producer of video, had worked on dozens of documentaries and oversaw the video editing. The Washington Post’s foreign editor, Douglas Jehl, brought to the project the talent and vision of his international teams, including reporting from Anthony Faiola and Stephanie Kirchner in Europe, Joshua Partlow in Mexico, and William Booth and Ruth Eglash in Israel.","{'Reem Akkad', 'Stephanie Kirchner', 'Donald Trump’s', 'Kevin Schaul', 'Zoeann Murphy', 'Douglas Jehl', 'Joshua Partlow', 'Kat Downs', 'Anthony Faiola', 'Ruth Eglash', 'William Booth', 'Samuel Granados'}",12,"{'The Washington Post', 'The Washington Post’s'}",2,"{'Israel', 'US', 'Berlin', 'the United States', 'Mexico'}",5
1,1,A. Wildenberg,France,,set(),0,set(),0,set(),0
2,2,Aapo Huhta,Finland,"Aapo Huhta received his MA in photography from the Aalto University of Arts and Design in Finland and has had solo exhibitions in Berlin, Stockholm and cities around Finland. In 2014, he was named one of Magnum Photos' Top 30 under 30 and received the PDN Photo Annual Student Prize. He was also named the Young Nordic Photographer of the Year by Fotografiska in 2015. His work has been published in GUP Magazine, Fotografia Magazine, Vice Magazine, and on Lens Culture, among others.",{'Aapo Huhta'},1,"{'MA', 'the Aalto University of Arts and Design', ""Magnum Photos'"", 'the\xa0Young Nordic Photographer of the Year'}",4,"{'Stockholm', 'Finland', 'Berlin'}",3
3,3,Aaron Goodman,none,"His research and documentary production focus on counter-narratives about long-term heroin users, natural death and dying, and survivors of genocide and mass trauma. He has 15 years’ experience as a multimedia producer, video journalist, and documentary maker. His news, features and documentaries have been broadcast by CBC Radio, PBS Frontline/WORLD, VOA, Al Jazeera English, CNN and Associated Press Television News. His writing has been published by the Toronto Star, National Post, Ottawa Citizen, Calgary Herald, Vancouver Sun, Reuters, Alert Net, Inter Press News Service, VOA, and others.","{'Calgary Herald', 'Alert Net'}",2,"{'CBC Radio', 'the Toronto Star', 'Vancouver Sun', 'Al Jazeera English', 'Associated Press Television News', 'PBS Frontline/WORLD', 'National Post', 'Ottawa Citizen', 'Inter Press News Service', 'CNN', 'Reuters', 'VOA'}",12,set(),0
4,4,Aaron Huey,USA,"Aaron Huey is a National Geographic photographer, and a Harper’s Magazine contributing editor. He is only the second photographer to occupy the Harper’s masthead in its 162-year history. Huey was a 2012 Stanford Knight Journalism Fellow, where he worked on new media models for community storytelling. He is widely known for his 3,349-mile solo walk across America (with his dog Cosmo). The 2002 journey lasted 154 days. There was no media coverage; they walked every step. He now lives in Seattle, USA.",{'Aaron Huey'},1,"{'Harper', 'Harper’s Magazine', 'National Geographic'}",3,"{'America', 'USA', 'Seattle'}",3
5,5,Abbas Kowsari,Iran,"Abbas Kowsari is the senior photo editor for Shargh Daily, a reformist newspaper in Iran, and for Aftab Network Magazine. He currently lives and works in Tehran and is represented by Ag Galerie. His work is exhibited regularly in both Iran and abroad.

Kowsari began his career as a photojournalist for the Tehran Times Daily in 1994. He has worked for numerous Iranian newspapers, several of which have since been shut down. His photographs have been published in many international publications including Paris Match, Der Spiegel, Colors Magazine from Benetton Group, Time Magazine, The New York Times, among many other publications.  

In Kowsari’s carefully observed and composed photographs, scenes of life in Iran are given a theatrical, almost epic presence. 

In 2009 he was shortlisted for the Prix Pictet for Shade of Earth (2007), which documents the pilgrimage made each spring to the battlefields of the Iran-Iraq War. He was also a finalist in the Magic of Persia Contemporary Art Prize, London (2009). 


World Press Photo Involvement:
2022 World Press Photo Contest jury member

Abbas Kowsari on Social Media: 
Instagram: @abbaskowsari
Twitter: @abbaskowsari Portrait credit: Mehdi Hasani","{'Paris Match', 'Mehdi Hasani', '@abbaskowsari Portrait', 'Abbas Kowsari', 'Der Spiegel', 'Ag Galerie', 'Kowsari'}",7,"{'the Tehran Times Daily', 'the Prix Pictet for Shade of Earth (', '@abbaskowsari', 'Kowsari', 'World Press Photo Involvement', 'Benetton Group', 'Aftab Network Magazine', 'Shargh Daily', 'Time Magazine', 'Colors Magazine', 'Social Media', 'The New York Times'}",12,"{'London', 'Iran', 'Tehran'}",3
6,6,Abbie Trayler-Smith,UK,"Abbie Trayler-Smith is a documentary and portrait photographer. She grew up in South Wales before moving to London where she studied law at Kings College. Trayler-Smith began working regularly as a photographer for the Daily Telegraph in 1998; here she spent eight years covering news and features worldwide, including the war in Iraq, the Darfur crisis and the Asian tsunami. In 2007, she joined Panos Pictures. Her work has been widely published and exhibited internationally as well as receiving many awards. Her first major work, ""Still Human Still Here,"" was exhibited at HOST Gallery in London in 2009, along with an award-winning accompanying multimedia short film. In 2013 she became a member of A Fine Beginning, the Welsh photography collective. Based in the UK, she is currently working on a long-term personal project called ""The Big O"" on childhood obesity. It was from this work that her portrait of Chelsea won 4th prize in The National Portrait Gallery’s Taylor Wessing Prize, London.","{'Welsh', 'Taylor Wessing Prize', 'Abbie Trayler-Smith'}",3,"{'Panos Pictures', 'Chelsea', 'Trayler-Smith', 'the Daily Telegraph', 'A Fine Beginning', 'Kings College', 'The National Portrait Gallery’s', 'HOST Gallery'}",8,"{'London', 'South Wales', 'Iraq', 'Darfur', 'UK'}",5
7,7,Abby Nicolas,USA,"Abby Nicolas is a photo editor on staff at Sports Illustrated. She edits for an array of sports with a focus on anthropologic, long-form human-interest stories.

She was born in Boston, and now works and resides in New York City. She is also a photo editor for Sports Illustrated Kids, Sports Illustrated Presents and si.com, as well as New York Times bestselling books for Time Inc. and Penguin Random House. Recently, she has focused on stories or the magazine that encompass a shifting political sports landscape both in the US and internationally.

In addition to photo editing at Sports Illustrated magazine, she shoots athletic portraits that have appeared both in print and online. She has also edited for numerous portfolio reviews in New York over the past two years.

Nicolas holds a Bachelor of Fine Arts in photography from Parsons School of Design as well as Bachelors degree in anthropology from Eugene Lang School of Liberal Arts. 

In addition to photo editing and her personal photography endeavors, Nicolas is a small business owner in Brooklyn, New York and is an active member of her local creative community.


Instagram: @crabbynicolas Portrait credit: Taylor Ballantyne","{'Nicolas', 'Taylor Ballantyne', 'Abby Nicolas', '@crabbynicolas Portrait'}",4,"{'New York Times', 'Parsons School of Design', 'Time Inc.', 'Nicolas', 'Eugene Lang School of Liberal Arts', 'Penguin Random House', 'Sports Illustrated Kids, Sports Illustrated Presents', 'Sports Illustrated'}",8,"{'New York', 'US', 'New York City', 'Brooklyn', 'Boston'}",5
8,8,Abd Doumany,none,"Before the war broke out, Doumany was completing his medical studies to become a dentist, but he stopped his university courses in the third year after he participated in a peaceful protest in Douma which was crushed by the security forces. It’s at that point that Doumany started thinking of taking pictures to document what was going on and let it reach the world opinion in the absence of free press or neutral reporters in Syria.

	He began taking photos with his iPhone to avoid being visible and getting arrested. Later, he started using his ordinary digital camera and worked on developing his skill in the field as he had no formal photojournalism training.

	Doumany started his career in photojournalism as a freelance photographer with Reuters in 2013, then he continued covering the Syrian conflict as of April 2014 with Agence France-Presse, upon recovering from an 18-month injury to his leg as a result of sniper fire. He sees it as his duty to document his people’s suffering. Doumany is also a volunteer with the Syrian Red Cross as a paramedic.

	In 2015, he was awarded the silver prize of the China International Press Photo Contest War and Disaster News with his portfolio on the Syria conflict and won in 2016 the first place in Spot News of the Pictures of the Year International.",{'Doumany'},1,"{'Spot News of the Pictures of the Year International', 'the Syrian Red Cross', 'Agence France-Presse', 'Disaster News', 'iPhone', 'Reuters', 'the China International Press Photo Contest War'}",7,"{'Douma', 'Syria', 'Doumany'}",3
9,9,Abdellah Azizi,Morocco,"Abdellah Azizi (Morocco, 1987) studied cinematographic lighting techniques at a specialized college in his hometown of Ouarzazate. After further film and editing studies in Casablanca, he worked as camera and lighting assistant on several productions. He also contributed to a local e-magazine.",{'Abdellah Azizi'},1,{'Ouarzazate'},1,"{'Morocco', 'Casablanca'}",2
10,10,Abdolla Heidari,Iran,"He later also went on to work at Iran's Islamic Republic News Agency. His photos have already been printed in many local and foreign publications, including National Geographic magazine, Polka magazine, and Days Japan magazine. His work has won numerous awards, including UNICEF's Photo of the Year 2014 in Germany, the Days Japan International Photojournalism Awards in 2015, and honorable mention in 2014 for the International Photography Awards (IPA). His work has been exhibited at 4th LUMIX Festival for Young Photojournalism in 2014, Chobi Mela VIII in 2015, and the Delhi Photo Festival.",{'Chobi Mela VIII'},1,"{'the International Photography Awards', 'the Delhi Photo Festival', 'Polka', 'UNICEF', 'Islamic Republic News Agency', 'National Geographic', 'IPA', 'the Days Japan International Photojournalism Awards'}",8,"{'Iran', 'Japan', 'Germany'}",3
11,11,Abdullah Doma,Libya,"Abdullah Doma was born in 1982 in Libya. Like many Libyan photojournalists, his career reached new heights in the wake of the Libyan revolution. In February 2011, Doma founded both the February 17 Media Centre and the first Libyan newspaper to be founded during the revolution, as well as the English Libya Post several months later. He is now the Senior Executive Director of Libya Hurra TV’s media center as well as Benghazi’s AFP photographer.

	In addition to photography, Doma is also deeply committed to humanitarian efforts in his home country. He is the founder of the Al-Raya Human Rights Organization as well as a member of the National Relief Committee and the February 17 Organization for Social Welfare.","{'Doma', 'Abdullah Doma'}",2,"{'Organization for Social Welfare', 'AFP', 'Media Centre', 'Libya Post', 'Libya Hurra TV’s', 'the National Relief Committee', 'Benghazi’s'}",7,{'Libya'},1
12,12,Abdurrauf Ben Madi,Libya,"Abdurrauf Ben Madi was born in 1976 in Tripoli, Libya. He graduated from the Fine Arts and Information Colleges of the University of Tripoli in 1998 and is now employed by the Ministry of Culture & Civil Society. He is a member of the Libyan Photographic Society and has participated in photo excursions, competitions, and exhibitions both in Libya and abroad. His work has previously been published in local newspapers and magazines.",{'Abdurrauf Ben Madi'},1,"{'the Fine Arts and Information Colleges of', 'the Ministry of Culture & Civil Society', 'the Libyan Photographic Society', 'the University of Tripoli'}",4,"{'Libya', 'Tripoli'}",2
13,13,Abir Abdullah,Bangladesh,"Abir Abdullah was born in 1971 in Bagerhat, Southern Bangladesh. He obtained a master's degree in marketing from Dhaka University before taking up photography, in a course at the Bangladesh Photographic Institute and later a diploma in photojournalism from Pathshala South East Asian Media Academy. Abdullah was among the first students at Pathshala, and participated in a three-year seminar, which was supported by World Press Photo. He went on to become a tutor at the academy, and is now the vice principal. After working freelance, Abdullah was a staff photographer at Drik Picture Library, and is currently photographer for the European Press Agency in Bangladesh. His work has appeared in numerous publications worldwide, including The New York Times, Asia Week, Der Spiegel, The Los Angeles Times, The Guardian and the book New Stories, published by World Press Photo. Among his many achievements are winning the 2001 Phaidon 55 photography competition, and first prizes in South Asian Journalists' Association Photo Awards and the Asian Press Photo Contest. His work has been exhibited around the world, from Mexico and Germany to Iran, China and the USA, as well as in his home country Bangladesh.","{'Der Spiegel', 'Abir Abdullah', 'Abdullah'}",3,"{'Drik Picture Library', 'the Asian Press Photo Contest', 'World Press Photo', 'Dhaka University', 'The Los Angeles Times', 'the Bangladesh Photographic Institute', 'Guardian', 'the European Press Agency', 'The New York Times'}",9,"{'Bagerhat', 'Germany', 'Asia Week', 'USA', 'Mexico', 'Iran', 'China', 'Pathshala', 'Bangladesh'}",9
14,14,Achim Bussler,Germany,,set(),0,set(),0,set(),0
15,15,Adam Ferguson,Australia,Image credit: Kathy Ryan,{'Kathy Ryan'},1,set(),0,set(),0
16,16,Adam Nadel,USA,,set(),0,set(),0,set(),0
