title,photographer,shoot day,Publication agency/magazine,award,description,Shutter Speed,Focal length,F-Stop,ISO,Camera,contest_year,prize,genere,series,persons,organizations,tot_persons,tot_organizations,places,tot_places
Paradise Lost,Valery Melnikov,"14 November, 2020",Sputnik,"2021 Photo Contest, World Press Photo Story of the Year Nominee","14 November, 2020
                                                    
                                Anushavan (62) stands in a pomegranate orchard in the yard of his home, in the village of Ukhtasar, Nagorno-Karabakh. He holds a Kalashnikov assault rifle kept from the First Nagorno-Karabakh War. 
                            
                                                    
                                Conflict between ethnic Armenians and Azerbaijan over the disputed region of Nagorno-Karabakh in the southern Caucasus resumed in September, after a lull of 30 years. In the 1980s, as the Soviet Union was crumbling, the ethnic Armenian majority in Nagorno-Karabakh, part of Azerbaijan, called for independence. Secessionist Armenians and Azerbaijani troops entered into a conflict that intensified during the 1990s, and continued until a ceasefire in 1994. More than 20,000 people died and a million people, both Armenian and Azerbaijani, were displaced. Victorious ethnic Armenians proclaimed a de facto independent state, naming it Artsakh. Over the next 30 years, the two sides maintained a tense coexistence, with periodic military clashes. A July 2020 border clash triggered massive protests in Azerbaijan’s capital, Baku, with thousands of demonstrators calling for the country to retake Nagorno-Karabakh. Hostilities, which each side blames the other for starting, were renewed on 27 September in what became known as the Second Nagorno-Karabakh War. Conflict continued until 9 November, the worst fighting the area had seen since the 1990s. In a settlement brokered by Russia in November, the parties agreed to cease hostilities. Azerbaijan regained possession of parts of Nagorno-Karabakh and the adjacent territories of Lachin, Kelbajar and Agdam, but the regional capital, Stepanakert, along with some other territories, remained under ethnic Armenian control. A corridor, patrolled by Russian peacekeepers, will connect Armenia to Stepanakert. Although fighting is over, reconciliation will prove difficult both to Armenians who feel they have lost their homeland and are now displaced, and to Azerbaijanis returning to a region ravaged by war.","Shutter Speed
                                            1/2500",,,"ISO
                                            640","Camera
                                            Nikon D810",2021 Photo Contest, World Press Photo Story of the Year Nominee,,,"{'Stepanakert', 'Anushavan', 'Kalashnikov', 'Artsakh'}","{'Ukhtasar, Nagorno-Karabakh', 'Azerbaijani', 'Nagorno-Karabakh'}",4.0,3.0,"{'Kelbajar', 'Azerbaijan', 'Lachin', 'Baku', 'Armenia', 'the Soviet Union', 'Russia', 'Agdam'}",8.0
Those Who Stay Will Be Champions,Chris Donovan,"14 February, 2019",,"2021 Photo Contest, World Press Photo Story of the Year Nominee","14 February, 2019
                                                    
                                Flint Jaguars player Dana Homes high-fives one of his coaches as he leaves the locker room for warm-up.
                            
                                                    
                                The Flint Jaguars basketball team in Flint, Michigan, USA, embodies efforts to nurture stability, encourage mutual support and strengthen community spirit in a city struggling to survive. Flint, the birthplace of General Motors, is striving against outmigration caused by a precipitous decline in its motor industry, a health crisis brought about by the authorities switching water-supply sources without proper safeguards, and the systemic neglect of high-poverty, predominantly Black neighborhoods. Basketball is an integral part of Flint culture, and the city once produced dozens of big names at collegiate and professional levels. For decades, four high school teams battled as fierce rivals. Now there is only one high school in town. The Flint Jaguars were established in 2017, merging the teams of the last two schools that remained at the time. In 2020, the team fought to turn around what had up until then been a nearly winless history. By March, they were prepared to head to the division finals with an 18-4 record, having won more games in 2020 than in the previous three years combined. Their play-off run ended prematurely when COVID-19 forced the cancellation of the season. Nevertheless, the student athletes had had a taste of collective success.","Shutter Speed
                                            1/160",,,"ISO
                                            1600","Camera
                                            Canon EOS 5D Mark III",2021 Photo Contest, World Press Photo Story of the Year Nominee,,,"{'Flint Jaguars', 'Dana Homes', 'COVID-19'}",{'General Motors'},3.0,1.0,"{'USA', 'Flint', 'Michigan'}",3.0
Habibi,Antonio Faccilongo,"17 August, 2015",Getty Reportage,"2021 Photo Contest, World Press Photo Story of the Year Nominee","17 August, 2015
                                                    
                                Nael al-Barghouthi’s suit remains hanging in his bedroom in Kobar, near Ramallah, Palestine. Al-Barghouthi’s wife, Iman Nafi, keeps all her husband’s clothes and belongings in place. Al-Barghouthi was arrested in 1978 after an anti-Israel commando operation. He was released in 2011, married Iman Nafi, but re-arrested in 2014 and sentenced to life imprisonment. He has spent more than 40 years in prison—the longest-serving Palestinian inmate in Israeli jails.
                            
                                                    
                                Nearly 4,200 Palestinian security detainees are being held in Israeli prisons, according to a February 2021 report by human rights organization B’Tselem. Some face sentences of 20 years or more. To visit a Palestinian prisoner in an Israeli jail, visitors have to overcome a number of different limitations resulting from border laws, prison regulations, and restrictions set by the Israel Security Agency (ISA). Visitors are usually allowed to see prisoners only through a transparent partition, and talk to them via a telephone receiver. Conjugal visits are denied and physical contact is forbidden, except for children under the age of ten, who are allowed ten minutes at the end of each visit to embrace their fathers. Since the early 2000s, long-term Palestinian detainees hoping to raise families have been smuggling semen out of prison, hidden in gifts to their children. Semen is smuggled in a variety of ways, such as in pen tubes, plastic candy wrappers, and inside bars of chocolate. In February 2021, Middle East Monitor reported that the 96th Palestinian baby had been born using sperm smuggled from Israeli prison.



Habibi, which means ‘my love’ in Arabic, chronicles love stories set against the backdrop of one of the longest and most complicated conflicts in modern history. The photographer aims to show the impact of the conflict on Palestinian families, and the difficulties they face in preserving their reproductive rights and human dignity. The photographer chooses not to focus on war, military action, and weapons, but on people’s refusal to surrender to imprisonment, and on their courage and perseverance to survive in a conflict zone.","Shutter Speed
                                            1/80",,,"ISO
                                            1000","Camera
                                            Fujifilm XT1",2021 Photo Contest, World Press Photo Story of the Year Nominee,,,"{'Nael al-Barghouthi’s', 'Al-Barghouthi’s', 'Iman Nafi', 'Al-Barghouthi'}","{'the Israel Security Agency', 'Habibi', 'ISA'}",4.0,3.0,"{'Kobar', 'Israel', 'Ramallah', 'Palestine'}",4.0
Habibi,Antonio Faccilongo,"17 August, 2015",Getty Reportage,"2021 Photo Contest, World Press Photo Story of the Year","17 August, 2015
                                                    
                                Nael al-Barghouthi’s suit remains hanging in his bedroom in Kobar, near Ramallah, Palestine. Al-Barghouthi’s wife, Iman Nafi, keeps all her husband’s clothes and belongings in place. Al-Barghouthi was arrested in 1978 after an anti-Israel commando operation. He was released in 2011, married Iman Nafi, but re-arrested in 2014 and sentenced to life imprisonment. He has spent more than 40 years in prison—the longest-serving Palestinian inmate in Israeli jails.
                            
                                                    
                                Nearly 4,200 Palestinian security detainees are being held in Israeli prisons, according to a February 2021 report by human rights organization B’Tselem. Some face sentences of 20 years or more. To visit a Palestinian prisoner in an Israeli jail, visitors have to overcome a number of different limitations resulting from border laws, prison regulations, and restrictions set by the Israel Security Agency (ISA). Visitors are usually allowed to see prisoners only through a transparent partition, and talk to them via a telephone receiver. Conjugal visits are denied and physical contact is forbidden, except for children under the age of ten, who are allowed ten minutes at the end of each visit to embrace their fathers. Since the early 2000s, long-term Palestinian detainees hoping to raise families have been smuggling semen out of prison, hidden in gifts to their children. Semen is smuggled in a variety of ways, such as in pen tubes, plastic candy wrappers, and inside bars of chocolate. In February 2021, Middle East Monitor reported that the 96th Palestinian baby had been born using sperm smuggled from Israeli prison.



Habibi, which means ‘my love’ in Arabic, chronicles love stories set against the backdrop of one of the longest and most complicated conflicts in modern history. The photographer aims to show the impact of the conflict on Palestinian families, and the difficulties they face in preserving their reproductive rights and human dignity. The photographer chooses not to focus on war, military action, and weapons, but on people’s refusal to surrender to imprisonment, and on their courage and perseverance to survive in a conflict zone.","Shutter Speed
                                            1/80",,,"ISO
                                            1000","Camera
                                            Fujifilm XT1",2021 Photo Contest, World Press Photo Story of the Year,,,"{'Nael al-Barghouthi’s', 'Al-Barghouthi’s', 'Iman Nafi', 'Al-Barghouthi'}","{'the Israel Security Agency', 'Habibi', 'ISA'}",4.0,3.0,"{'Kobar', 'Israel', 'Ramallah', 'Palestine'}",4.0
Leaving Home in Nagorno-Karabakh,Valery Melnikov,"28 November, 2020",Sputnik,"2021 Photo Contest, World Press Photo of the Year Nominee","28 November, 2020
                                                    
                                Azat Gevorkyan and his wife Anaik are pictured before leaving their home in Lachin, Nagorno-Karabakh, the final district to be returned to Azerbaijani control following the Second Nagorno-Karabakh War. 
                            
                                                    
                                Conflict between ethnic Armenians and Azerbaijan over the disputed region of Nagorno-Karabakh in the southern Caucasus resumed in September, after a lull of 30 years. In the 1980s, as the Soviet Union was crumbling, the ethnic Armenian majority in Nagorno-Karabakh, part of Azerbaijan, called for independence. Secessionist Armenians and Azerbaijani troops entered into a conflict that intensified during the 1990s, and continued until a ceasefire in 1994. More than 20,000 people died and a million people, both Armenian and Azerbaijani, were displaced. Victorious ethnic Armenians proclaimed a de facto independent state, naming it Artsakh. Over the next 30 years, the two sides maintained a tense coexistence, with periodic military clashes. A July 2020 border clash triggered massive protests in Azerbaijan’s capital, Baku, with thousands of demonstrators calling for the country to retake Nagorno-Karabakh. Hostilities, which each side blames the other for starting, were renewed on 27 September in what became known as the Second Nagorno-Karabakh War. Conflict continued until 9 November, the worst fighting the area had seen since the 1990s. In a settlement brokered by Russia in November, the parties agreed to cease hostilities. Azerbaijan regained possession of parts of Nagorno-Karabakh and the adjacent territories of Lachin, Kelbajar and Agdam, but the regional capital, Stepanakert, along with some other territories, remained under ethnic Armenian control. A corridor, patrolled by Russian peacekeepers, will connect Armenia to Stepanakert. Although fighting is over, reconciliation will prove difficult both to Armenians who feel they have lost their homeland and are now displaced, and to Azerbaijanis returning to a region ravaged by war.","Shutter Speed
                                            1/1600",,,"ISO
                                            3200","Camera
                                            Nikon D810",2021 Photo Contest, World Press Photo of the Year Nominee,,,"{'Stepanakert', 'Azat Gevorkyan', 'Anaik', 'Artsakh'}","{'Azerbaijani', 'Lachin, Nagorno-Karabakh', 'Nagorno-Karabakh'}",4.0,3.0,"{'Kelbajar', 'Azerbaijan', 'Lachin', 'Baku', 'Armenia', 'the Soviet Union', 'Russia', 'Agdam'}",8.0
The First Embrace,Mads Nissen,"05 August, 2020",Politiken/Panos Pictures,"2021 Photo Contest, World Press Photo of the Year Nominee","05 August, 2020
                                                    
                                Rosa Luzia Lunardi (85) is embraced by nurse Adriana Silva da Costa Souza, at Viva Bem care home, São Paulo, Brazil. 
                            
                                                    
                                This was the first hug Rosa had received in five months. In March, care homes across the country had closed their doors to all visitors as a result of the COVID-19 pandemic, preventing millions of Brazilians from visiting their elderly relatives. Carers were ordered to keep physical contact with the vulnerable to an absolute minimum. At Viva Bem, a simple invention, ‘The Hug Curtain', allowed people to hug each other once again. The new coronavirus had first appeared in Wuhan, China, at the end of 2019, and by January 2020 had begun to spread around the world. On 11 March, the World Health Organisation declared the COVID-19 outbreak a pandemic. The disease—transmitted mainly via close contact, respiratory droplets, and aerosols—could be fatal, and people over the age of 70 were one of the groups considered most vulnerable to the disease. Brazilian president, Jair Bolsonaro, dismissed claims about the severity of the pandemic and the danger posed by the virus, undermined quarantine measures adopted at state level, and encouraged Brazilians to continue working to keep the economy afloat. Brazil ended 2020 with one of the worst records globally in dealing with the virus, with some 7.7 million reported cases and 195,000 deaths.","Shutter Speed
                                            1/1600","Focal length
                                            50mm","F-Stop
                                            5.6","ISO
                                            200","Camera
                                            Canon EOS 5D Mark III",2021 Photo Contest, World Press Photo of the Year Nominee,,,"{'Jair Bolsonaro', 'Rosa Luzia Lunardi', 'São Paulo', 'Adriana Silva'}","{'the World Health Organisation', 'Viva Bem', 'Rosa', 'COVID-19'}",4.0,4.0,"{'Wuhan', 'China', 'Costa Souza', 'Brazil'}",4.0
The Transition: Ignat,Oleg Ponomarev,"23 April, 2020",,"2021 Photo Contest, World Press Photo of the Year Nominee","23 April, 2020
                                                    
                                Ignat, a transgender man, sits with his girlfriend Maria in Saint Petersburg, Russia.
                            
                                                    
                                Ignat was bullied throughout his school years, and confronted by the school psychologist following rumors that he spoke about himself using the masculine gender. Ignat opened up to the psychologist about his gender identity—the first stranger to whom he had told everything—but asked to keep it a secret. The whole school found out, and the insults and humiliations became permanent. Many LGBTQ+ people in Russia keep low profiles because of stigmatization against non-traditional sexuality. An amendment to the Russian constitution, made in July 2020, stipulates that marriage is a union between a man and a woman, with no other options possible. Although an attempt was made to make a further amendment preventing transgender people from changing their status on legal documents, it was not passed. Transgender people can marry, but the road there is difficult. Transgender people also face very specific challenges when accessing their economic, social, and cultural rights, as their gender is not legally recognized. This results in transgender people having no access to transition-related healthcare services, or official support against discrimination.","Shutter Speed
                                            1/160",,,"ISO
                                            1250","Camera
                                            Nikon D800",2021 Photo Contest, World Press Photo of the Year Nominee,,,{'Maria'},{'Ignat'},1.0,1.0,"{'Russia', 'Saint Petersburg'}",2.0
Emancipation Memorial Debate,Evelyn Hockstein,"25 June, 2020",For The Washington Post,"2021 Photo Contest, World Press Photo of the Year Nominee","25 June, 2020
                                                    
                                A man and woman disagree on the removal of the Emancipation Memorial, in Lincoln Park, Washington DC, USA.
                            
                                                    
                                The Emancipation Memorial shows Lincoln holding the Emancipation Proclamation in one hand, with his other hand over the head of a Black man in a loincloth, kneeling at his feet. Critics argue that the statue is paternalistic, demeaning in its depiction of Black Americans, and that it doesn’t do justice to the role that Black people played in their own liberation. Those against removal say it is a positive depiction of people being freed from the shackles of slavery, and that removing such monuments can amount to an erasing of history. The drive to remove the statue came amid a wave of calls to take down monuments of Confederate generals nationwide, a move largely welcomed by activists from the Black Lives Matter (BLM) movement, who see Confederate and other such monuments as reminders of an oppressive history. They call for a more honest accounting of American history. Officials had erected barriers around the Emancipation Memorial in advance of demonstrations. Residents posted notes on the fence expressing their views, and on 25 June around 100 people gathered at the monument arguing about what it meant. In February 2021, congresswoman Eleanor Holmes Norton reintroduced a bill in the US Congress to have the statue removed and taken to a museum.","Shutter Speed
                                            1/200","Focal length
                                            24-70mm","F-Stop
                                            f/2.8","ISO
                                            1250","Camera
                                            ILCE-9M2",2021 Photo Contest, World Press Photo of the Year Nominee,,,{'Eleanor Holmes Norton'},"{'the Emancipation Memorial', 'the US Congress', 'Lincoln', 'the Black Lives Matter', 'Confederate', 'The Emancipation Memorial'}",1.0,6.0,"{'USA', 'Washington DC', 'Lincoln Park'}",3.0
Fighting Locust Invasion in East Africa,Luis Tato,"24 April, 2020",For The Washington Post,"2021 Photo Contest, World Press Photo of the Year Nominee","24 April, 2020
                                                    
                                Henry Lenayasa, chief of the settlement of Archers Post, in Samburu County, Kenya, tries to scare away a massive swarm of locusts ravaging grazing area, on 24 April. Locust swarms devastated large areas of land, just as the coronavirus outbreak had begun to disrupt livelihoods.
                            
                                                    
                                In early 2020, Kenya experienced its worst infestation of desert locusts in 70 years. Swarms of locusts from the Arabian Peninsula had migrated into Ethiopia and Somalia in the summer of 2019. Continued successful breeding, together with heavy autumn rains and a rare late-season cyclone in December 2019, triggered another reproductive spasm. The locusts multiplied and invaded new areas in search of food, arriving in Kenya and spreading through other countries in eastern Africa. Desert locusts, Schistocerca gregaria, are potentially the most destructive of the locust pests, as swarms can fly rapidly across great distances, traveling up to 150 kilometers a day. A single swarm can contain between 40 and 80 million locusts per square kilometer. Each locust can eat its weight in plants each day: a swarm the size of Paris could eat the same amount of food in one day as half the population of France. Locusts produce two to five generations a year, depending on environmental conditions. In dry spells, they crowd together on remaining patches of land. Prolonged wet weather—producing moist soil for egg-laying, and abundant food— encourages breeding and producing large swarms that travel in search of food, devastating farmland. Even before this outbreak, nearly 20 million people faced high levels of food insecurity across the East African region, challenged by periodic droughts and floods. COVID-19 restrictions in the region slowed efforts to fight the infestation as supply chains of pesticides were disrupted.","Shutter Speed
                                            1/3200",,,"ISO
                                            800","Camera
                                            Canon EOS 5D Mark III",2021 Photo Contest, World Press Photo of the Year Nominee,,,{'Henry Lenayasa'},{'Archers Post'},1.0,1.0,"{'Ethiopia', 'France', 'Paris', 'Kenya', 'Samburu County', 'Somalia'}",6.0
Injured Man After Port Explosion in Beirut,Lorenzo Tugnoli,"04 August, 2020","Contrasto, for The Washington Post","2021 Photo Contest, World Press Photo of the Year Nominee","04 August, 2020
                                                    
                                An injured man stands near the site of a massive explosion in the port of Beirut, Lebanon, while firefighters work to put out the fires that engulfed the warehouses after the explosion.
                            
                                                    
                                At around 6pm on 4 August, a massive explosion, caused by more than 2,750 tons of high density ammonium nitrate, shook Lebanon’s capital Beirut. The explosive compound was being stored in a warehouse in the port. Some 100,000 people lived within a kilometer of the warehouse. The explosion, which measured 3.3 on the Richter scale, damaged or destroyed around 6,000 buildings, killed at least 190 people, injured a further 6,000, and displaced as many as 300,000. The ammonium nitrate came from a ship that had been impounded in 2012 for failing to pay docking fees and other charges, and apparently abandoned by its owner. Customs officials wrote to the Lebanese courts at least six times between 2014 and 2017, asking how to dispose of the explosive. In the meantime, it was stored in the warehouse in an inappropriate climate. It is not clear what detonated the explosion, but contamination by other substances, either while in transport or in storage, appear the most likely cause. Many citizens saw the incident as symptomatic of the ongoing problems the country is facing, namely governmental failure, mishandling and corruption. In the days after the blast, tens of thousands of demonstrators filled the streets of central Beirut, some clashing with security forces and taking over government buildings, in protest against a political system they saw as unwilling to fix the country’s problems.","Shutter Speed
                                            1/320",,,"ISO
                                            400","Camera
                                            Sony ILCE-7RM3",2021 Photo Contest, World Press Photo of the Year Nominee,,,set(),{'Customs'},0.0,1.0,"{'Lebanon', 'Beirut'}",2.0
