title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Sankofa,Haile Gerima,male,"Channel Four Films, Diproci, Ghana National Commission on Culture",tt0108041,8.2/10,Sankofa,1993-05-28,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","USA, Ghana, Burkina Faso, UK, Germany, Ethiopia","Akan, English",,7.0,704.0,93.0,"$1,000,000 (estimated)","$2,198,984","west indies,model,fashion,plantation,africa","Awards, 1 nomination"
The Starling,Theodore Melfi,male,Netflix,tt5164438,4.2/10,The Starling,2021-09-24,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline",USA,"English, Spanish",PG-13,6.3,12944.0,31.0,,,"bird,mother,father,home,starling","Awards, 1 win"
Confessions of an Invisible Girl,,,Netflix,tt15204288,,Confessions of an Invisible Girl,2021-09-22,Bruno Garotti,"Lucca Picon, Marcus Bessa, Caio Cabral",Brazil,Portuguese,TV-PG,5.2,1090.0,,,,"school,teenager,young,love,friend","Awards, 1 nomination"
Intrusion,,,,tt5563324,4.5/10,,,,,,,,,,,,,,
Avvai Shanmughi,K. S. Ravikumar,male,Shree Mahalakshmi Combines,tt0139872,,Avvai Shanmugi,1996-11-10,K.S. Ravikumar,"Kamal Haasan, Meena, Gemini Ganesan",India,Tamil,,7.9,2617.0,,,,"custody battle,pretending to be mute,farce,man dresses as a woman,woman wears eyeglasses",
Jeans,Nicolette Krebitz,female,,tt0279885,,,,,,,,,,,,,,,
Minsara Kanavu,Rajiv Menon,male,AVM Productions,tt0282003,,Minsaara Kanavu,1997-01-14,Rajiv Menon,"Arvind Swamy, Prabhu Deva, Kajol",India,Tamil,Not Rated,6.7,1232.0,,,,"nun,love triangle,father daughter relationship,secret admirer,hairdresser","Awards, 7 wins"
Grown Ups,Anna Novion,female,Netflix,tt1375670,3.5/10,Grown Ups,2010-06-25,Dennis Dugan,"Adam Sandler, Salma Hayek, Kevin James",USA,"English, Spanish",PG-13,5.9,251026.0,30.0,"$80,000,000 (estimated)","$271,457,301","cheerleader uniform,sexy woman,daughter,overweight,funeral","Awards, 3 wins & 4 nominations"
Dark Skies,Scott Stewart,male,Netflix,tt2387433,41%,Dark Skies,2013-02-22,Scott Stewart,"Keri Russell, Jake Brennan, Josh Hamilton",USA,English,PG-13,6.3,76092.0,50.0,"$3,500,000 (estimated)","$27,858,103","alien abduction,child&apos;s drawing,dead bird,job interview,shotgun",
Paranoia,Robert Luketic,male,Relativity Media,tt1413495,7%,Paranoia,2013-08-16,Robert Luketic,"Liam Hemsworth, Gary Oldman, Harrison Ford","USA, India, France",English,PG-13,5.6,37605.0,32.0,"$35,000,000 (estimated)","$17,056,265","spying,thumbprint,traffic,man wears a swimsuit,man wrapped in a towel","Awards, 1 nomination"
Ankahi Kahaniya,Ashwiny Iyer Tiwari,female,Netflix,tt15250998,50,Ankahi Kahaniya,2021-09-17,"Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari","Abhishek Banerjee, T.J. Bhanu, Nikhil Dwivedi",India,Hindi,TV-14,5.5,893.0,,,,"anthology,anthology film,love,life,parent","Awards, 1 nomination"
The Father Who Moves Mountains,,,,,,,,,,,,,,,,,,,
The Stronghold,Yurii Kovalov,male,,tt5238240,,,,,,,,,,,,,,,
Birth of the Dragon,George Nolfi,male,Netflix,tt2720826,4.3/10,Birth of the Dragon,2017-08-25,George Nolfi,"Billy Magnussen, Yu Xia, Philip Ng","China, Canada, USA","English, Mandarin",PG-13,5.6,8279.0,35.0,"$31,000,000 (estimated)","$7,215,027","bruce lee character,bruceploitation,four word title,animal in title,based on article","Awards, 1 win"
Jaws,Steven Spielberg,male,Universal Pictures,tt0073195,9.2/10,Jaws,1975-06-20,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",USA,English,PG,8.1,596277.0,87.0,"$7,000,000 (estimated)","$471,411,300","shark,great white shark,beach,blockbuster,shark attack","Top rated movie #206 | Won 3 Oscars, 15 wins & 20 nominations total"
Jaws 2,Jeannot Szwarc,male,Universal Pictures,tt0077766,5.4/10,Jaws 2,1978-06-16,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton",USA,English,PG,5.8,78428.0,51.0,"$20,000,000 (estimated)","$187,884,007","giant shark,wet t shirt,fictional town,shark,beach",
Jaws: The Revenge,Joseph Sargent,male,Universal Pictures,tt0093300,2.7/10,Jaws: The Revenge,1987-07-17,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles",USA,English,PG-13,3.0,46088.0,15.0,"$23,000,000 (estimated)","$51,881,013","1980s,shark,shark attack,killer shark,animal monster","Awards, 1 win & 7 nominations"
Safe House,Daniel Espinosa,male,"('Universal Pictures', 'UIP-Dunafilm')",tt1599348,5.7/10,Safe House,2012-02-10,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Robert Patrick","South Africa, USA, Japan","English, Afrikaans",R,6.7,222762.0,52.0,"$85,000,000 (estimated)","$208,076,205","on the run,cia agent,cape town south africa,south africa,two in a shower","Awards, 1 win & 7 nominations"
Training Day,Antoine Fuqua,male,InterCom,tt0139654,6.5/10,Training Day,2001-10-05,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn",USA,"English, Russian, Spanish, Korean, Greek",R,7.7,431718.0,69.0,"$45,000,000 (estimated)","$104,876,233","narc,day of reckoning,die hard scenario,wedding ring,neo noir","Won 1 Oscar, 18 wins & 23 nominations total"
Nightbooks,David Yarovesky,male,Netflix,tt10521144,86%,Nightbooks,2021-09-15,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",USA,English,TV-PG,5.7,8760.0,65.0,,,"boy,magic,witch,girl,friendship","Awards, 1 nomination"
Schumacher,Michael Wech,male,Netflix,tt10322274,,Schumacher,2021-09-15,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","Ross Brawn, Flavio Briatore, Luca Cordero di Montezemolo",Germany,"German, English",12,7.4,22792.0,,,,"formula 1,motor sports,motor vehicle,german sports hero,accident",
King of Boys,Kemi Adetiba,female,FilmOne,tt8329618,,King of Boys,2018-10-26,Kemi Adetiba,"Sola Sobowale, Remilekun Reminisce Safaru, Adesua Etomi-Wellington",Nigeria,"Yoruba, English, Ibo, Hausa",TV-MA,5.9,430.0,,,"$34,711","political,business,criminal,secret,struggle","Awards, 3 wins & 1 nomination"
Tughlaq Durbar,,,,,,,,,,,,,,,,,,,
Kate,Cedric Nicolas-Troyan,male,Netflix,tt7737528,5.1/10,Kate,2021-09-10,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Woody Harrelson, Miku Patricia Martineau",USA,"English, Japanese",R,6.2,60686.0,47.0,,,"assassin,vengeance,murder,shootout,murderer","Awards, 1 nomination"
Prey,Darrell Roodt,male,Netflix,tt0468536,3.6/10,,,,,,,,,,,,,,
Blood Brothers: Malcolm X & Muhammad Ali,,,"Khalabo Ink Society, Lightbox",tt15095938,,Blood Brothers: Malcolm X & Muhammad Ali,2021-09-09,Marcus A. Clarke,"Ilyasah Shabazz, Rahman Ali, Cornel West",USA,English,PG-13,6.9,972.0,69.0,,,"friend,reference to malcolm x,reference to muhammad ali,professional sportsman,black american hero","Awards, 1 nomination"
Paradise Hills,Alice Waddington,female,Samuel Goldwyn Films,tt6127004,63%,Paradise Hills,2019-10-25,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina","Spain, USA",English,TV-14,5.3,18374.0,49.0,"€6,000,000 (estimated)","$414,515","island,hairdressing,f rated,future,rehabilitation center","Awards, 1 win & 22 nominations"
Show Dogs,Raja Gosnell,male,InterCom,tt5691024,16%,Show Dogs,2018-05-18,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne","UK, USA",English,Unrated,3.8,4745.0,31.0,"$5,500,000 (estimated)","$39,156,854","dog movie,talking animals,buddy cop,dog,slimehouse","Awards, 1 nomination"
Shadow Parties,Yemi Amodu,male,Netflix,tt10168094,,Shadow Parties,2021-09-06,Yemi Amodu,"Toyin Abraham, Toyin Adegbola, Ayanfe Adekunle",,,,6.2,9.0,,,,,"Awards, 1 nomination"
Angamaly Diaries,Lijo Jose Pellissery,male,Friday Film House,tt6167894,,Angamaly Diaries,2017-03-03,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin",India,Malayalam,Not Rated,7.9,6141.0,,,"$661,915",city,"Awards, 2 wins & 6 nominations"
Worth,Sara Colangelo,female,"Anonymous Content, Higher Ground Productions, MadRiver Pictures",tt8009744,7/10,Worth,2021-09-03,Sara Colangelo,"Michael Keaton, Amy Ryan, Stanley Tucci","UK, Canada, USA",English,PG-13,6.8,13512.0,67.0,,"$106,645","politics,terrorist,congress,attack,airline",
Afterlife of the Party,Stephen Herek,male,Netflix,tt11742798,5/10,Afterlife of the Party,2021-09-02,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott",USA,English,TV-PG,5.8,8995.0,,,,"party,birthday,joke,friend,girl","Awards, 1 win"
Anjaam,Rahul Rawail,male,,tt0109134,,Anjaam,1994-04-22,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand",India,Hindi,Not Rated,6.6,6571.0,,,,"murder,obsession,rejection,revenge,women&apos;s prison","Awards, 2 nominations"
Bright Star,Jane Campion,female,Netflix,tt0810784,7.3/10,Bright Star,2009-10-09,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider","Australia, UK, France","English, French",PG,6.9,27628.0,81.0,"$8,500,000 (estimated)","$14,374,652","reed,artistic creation,period drama,timeframe 1810s,timeframe 19th century","Nominated for 1 Oscar, 16 wins & 54 nominations total"
Dhanak,Nagesh Kukunoor,male,PVR Pictures,tt4088588,75%,Rainbow,2016-06-17,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma",India,"Hindi, Rajasthani, English",,7.8,4079.0,,,,girl,"Awards, 4 wins & 3 nominations"
Gurgaon,,,Jar Pictures,tt4699202,86,Gurgaon,2017-08-04,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Aamir Bashir",India,Hindi,,6.5,2238.0,,,,kidnapping,"Awards, 2 nominations"
Here and There,Darko Lungulov,male,Gaiam Vivendi Entertainment,tt1118045,67%,,,,,,,,,,,,,,
In the Cut,Jane Campion,female,Netflix,tt0199626,4.9/10,In the Cut,2003-10-31,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh","UK, Australia, France, USA",English,R,5.4,24616.0,46.0,"$12,000,000 (estimated)","$23,726,793","blow job,oral sex,female rear nudity,female removes her clothes,breasts","Awards, 1 win & 2 nominations"
Shikara,Vidhu Vinod Chopra,male,Vinod Chopra Productions,tt10930586,50,Shikara,2020-02-07,Vidhu Vinod Chopra,"Sadia Khateeb, Aadil Khan, Zain Khan Durrani",India,Hindi,Not Rated,3.3,15163.0,,"₹280,000,000 (estimated)","$1,109,387","love,disney","Awards, 1 nomination"
A Cinderella Story,Mark Rosman,male,Netflix,tt0356470,12%,A Cinderella Story,2004-07-16,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge","USA, Canada","English, German, Czech",PG,5.9,87501.0,25.0,"$19,000,000 (estimated)","$70,067,909","cinderella story,female protagonist,teenage girl,correspondence,high school student","Awards, 6 wins & 8 nominations"
An Unfinished Life,Lasse Hallström,male,Netflix,tt0350261,5.8/10,An Unfinished Life,2005-09-16,Lasse Hallström,"Jennifer Lopez, Robert Redford, Morgan Freeman",USA,English,PG-13,7.0,31327.0,49.0,"$30,000,000 (estimated)","$18,618,284","camera focus on female butt,smoking tobacco,reference to mcdonald&apos;s restaurant,bear,car accident","Awards, 3 wins & 1 nomination"
Chappie,Neill Blomkamp,male,InterCom,tt1823672,4.9/10,Chappie,2015-03-06,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman",USA,English,R,6.8,250418.0,41.0,"$49,000,000 (estimated)","$102,811,889","robot,artificial intelligence,future,mind uploading,consciousness","Awards, 3 nominations"
