,title,director,director gender
0,Sankofa,Haile Gerima,male
1,The Starling,Theodore Melfi,male
2,Confessions of an Invisible Girl,no_data,no_data
3,Intrusion,no_data,no_data
4,Avvai Shanmughi,K. S. Ravikumar,male
5,Jeans,Nicolette Krebitz,female
6,Minsara Kanavu,Rajiv Menon,male
7,Grown Ups,Anna Novion,female
8,Dark Skies,Scott Stewart,male
9,Paranoia,Robert Luketic,male
10,Ankahi Kahaniya,Ashwiny Iyer Tiwari,female
11,The Father Who Moves Mountains,no_data,no_data
12,The Stronghold,Yurii Kovalov,male
13,Birth of the Dragon,George Nolfi,male
14,Jaws,Steven Spielberg,male
15,Jaws 2,Jeannot Szwarc,male
16,Jaws: The Revenge,Joseph Sargent,male
17,Safe House,Daniel Espinosa,male
18,Training Day,Antoine Fuqua,male
19,Nightbooks,David Yarovesky,male
20,Schumacher,Michael Wech,male
21,King of Boys,Kemi Adetiba,female
22,Tughlaq Durbar,no_data,no_data
23,Kate,Cedric Nicolas-Troyan,male
24,Prey,Darrell Roodt,male
25,Blood Brothers: Malcolm X & Muhammad Ali,no_data,no_data
26,Paradise Hills,Alice Waddington,female
27,Show Dogs,Raja Gosnell,male
28,Shadow Parties,Yemi Amodu,male
29,Angamaly Diaries,Lijo Jose Pellissery,male
30,Worth,Sara Colangelo,female
31,Afterlife of the Party,Stephen Herek,male
32,Anjaam,Rahul Rawail,male
33,Bright Star,Jane Campion,female
34,Dhanak,Nagesh Kukunoor,male
35,Gurgaon,no_data,no_data
36,Here and There,Darko Lungulov,male
37,In the Cut,Jane Campion,female
38,Shikara,Vidhu Vinod Chopra,male
39,A Cinderella Story,Mark Rosman,male
40,An Unfinished Life,Lasse Hallström,male
41,Chappie,Neill Blomkamp,male
42,Clear and Present Danger,Phillip Noyce,male
43,Cliffhanger,Renny Harlin,male
44,Cold Mountain,Anthony Minghella,male
45,Crocodile Dundee in Los Angeles,Simon Wincer,male
46,Dear John,Lars-Magnus Lindgren,male
47,Do the Right Thing,Spike Lee,male
48,Extraction,Steven C. Miller,male
49,Freedom Writers,Richard LaGravenese,male
50,Green Lantern,Martin Campbell,male
51,House Party,Reginald Hudlin,male
