,distributor,id,rating score
0,no_data,tt0108041,8.2/10
1,Netflix,tt5164438,4.2/10
2,Netflix,tt15204288,no_data
3,no_data,tt5563324,4.5/10
4,no_data,tt0139872,no_data
5,no_data,tt0279885,no_data
6,AVM Productions,tt0282003,no_data
7,Netflix,tt1375670,3.5/10
8,Netflix,tt2387433,41%
9,Relativity Media,tt1413495,7%
10,Netflix,tt15250998,no_data
11,no_data,no_data,no_data
12,no_data,tt5238240,no_data
13,Netflix,tt2720826,4.3/10
14,Universal Pictures,tt0073195,9.2/10
15,Universal Pictures,tt0077766,5.4/10
16,Universal Pictures,tt0093300,2.7/10
17,Universal Pictures,tt1599348,5.7/10
18,Netflix,tt0139654,6.5/10
19,Netflix,tt10521144,86%
20,Netflix,tt10322274,no_data
21,FilmOne,tt8329618,no_data
22,no_data,no_data,no_data
23,Netflix,tt7737528,5.1/10
24,Netflix,tt0468536,3.6/10
25,no_data,tt15095938,no_data
26,Samuel Goldwyn Films,tt6127004,63%
27,InterCom,tt5691024,16%
28,Netflix,tt10168094,no_data
29,no_data,tt6167894,no_data
30,no_data,tt8009744,7/10
31,Netflix,tt11742798,5/10
32,no_data,tt0109134,no_data
33,Netflix,tt0810784,7.3/10
34,Netflix,tt4088588,75%
35,no_data,tt4699202,no_data
36,Gaiam Vivendi Entertainment,tt1118045,67%
37,Netflix,tt0199626,4.9/10
38,no_data,tt10930586,no_data
39,Netflix,tt0356470,12%
40,MOKÉP,tt0350261,5.8/10
41,Columbia Pictures,tt1823672,4.9/10
42,Paramount Pictures,tt0109444,6.9/10
43,InterCom,tt0106582,67%
44,Miramax,tt0159365,6.7/10
45,Paramount Pictures,tt0231402,3.6/10
46,Netflix,tt0989757,4.4/10
47,Universal Pictures,tt0097216,9.1/10
48,Netflix,tt8936646,67%
49,Paramount Pictures,tt0463998,6.3/10
50,Netflix,tt1133985,26%
51,Columbia Pictures,tt0099800,7/10
52,New Line Cinema,tt0102065,4.5/10
53,New Line Cinema,tt0110064,0%
54,Miramax,tt0131436,3.3/10
55,no_data,tt0099834,no_data
56,Netflix,tt0439630,4.1/10
57,Netflix,tt4841640,no_data
58,Netflix,tt0091369,75%
59,Summit Entertainment,tt0892318,5.2/10
60,no_data,tt4006302,83%
