,serie,brodcaster,imdbID,rottenscore
0,Ganglands,no_data,no_data,no_data
1,Midnight Mass,Netflix,tt10574558,no_data
2,The Great British Baking Show,BBC One,tt1877368,no_data
3,The Smart Money Woman,Netflix,no_data,no_data
4,King of Boys: The Return of the King,Netflix,no_data,no_data
5,Valeria,Univision,tt1483311,no_data
6,I Need Romance,tvN,tt3340752,no_data
7,Navarasa,no_data,no_data,no_data
8,Office Girls,Taiwan Television,tt4381290,no_data
9,The Flash,CBS,tt0098798,no_data
10,The Mire,Showmax,tt8855592,no_data
11,Masameer County,Netflix,tt14936146,no_data
12,Ray,no_data,no_data,no_data
13,Riverdale,CBC Television,tt0125643,no_data
14,The Rational Life,no_data,tt14376958,no_data
15,Let's Eat,tvN,tt3385484,no_data
16,The American Bible Challenge,Game Show Network,tt2246424,no_data
17,Feel Good,Channel 4,tt10098620,no_data
18,Word of Honor,no_data,tt12458172,no_data
19,The Mystic River,no_data,no_data,no_data
20,The Innocent,Netflix,tt10147644,no_data
21,Let's Fight Ghost,Netflix,no_data,no_data
22,The Underclass,no_data,tt12665438,no_data
23,Last Tango in Halifax,BBC One,tt2216156,no_data
24,Anitta: Made In Honório,Netflix,tt13486136,no_data
25,Detention,Netflix,tt13175760,no_data
26,Before 30,Africa Magic,no_data,no_data
27,A Queen Is Born,no_data,tt12571792,no_data
28,The Devil Punisher,no_data,tt13317376,no_data
29,Call the Midwife,BBC One,tt1983079,no_data
30,Julie and the Phantoms,Netflix,tt10183988,no_data
31,Goedam,no_data,tt12929796,no_data
32,The Twelve,Eén,tt7605396,no_data
33,Supernatural,The WB,tt0460681,no_data
34,Supergirl,The CW,tt4016454,no_data
35,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
36,The Eddy,Netflix,tt7322210,no_data
37,Almost Happy,Netflix,tt12146940,no_data
38,The Victims' Game,Netflix,tt12079212,no_data
39,The Trial,Canale 5,tt10549212,no_data
40,Kingdom,ITV,tt0841961,no_data
41,Velvet,Antena 3,tt2955402,no_data
42,Sleepless Society: Insomnia,no_data,tt11822994,no_data
43,Arrow,The CW,tt2193021,no_data
44,The Ghost Bride,no_data,tt9690302,no_data
45,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
46,You,Netflix,tt7335184,no_data
47,The Chosen One,Netflix,tt9048368,no_data
48,Nowhere Man,UPN,tt0112104,no_data
49,Cheese in the Trap,tvN,tt4741110,no_data
50,Gotham,Fox Broadcasting Company,tt3749900,no_data
51,Criminal: Spain,no_data,tt10986050,no_data
52,Sacred Games,Netflix,tt6077448,no_data
53,Til Death Do Us Part,no_data,tt10732758,no_data
54,The Family,American Broadcasting Company,tt4428038,no_data
55,Reply 1994,tvN,tt3357586,no_data
56,Reply 1997,tvN,tt2782216,no_data
57,Bolívar,Netflix,tt9327242,no_data
58,Crime Diaries: Night Out,no_data,tt10242266,no_data
59,Hjørdis,TV 2 Danmark,tt4057466,no_data
60,Watership Down,CITV,tt0211882,no_data
61,Pine Gap,ABC,tt7371868,no_data
62,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
63,Take My Brother Away,no_data,tt8894324,no_data
64,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
65,Bobby Kennedy for President,no_data,tt8200004,no_data
66,James Acaster: Repertoire,no_data,tt7818686,no_data
67,Godzilla,TV Tokyo,tt0177814,no_data
68,Myths & Monsters,no_data,tt7531644,no_data
69,Degrassi: Next Class,Family Channel,tt5320160,no_data
70,Man to Man,JTBC,tt6032762,no_data
71,Hoff the Record,no_data,tt4095622,no_data
72,Merlin,TF1,tt2024052,no_data
73,Hemlock Grove,Netflix,tt2309295,no_data
74,Bitter Daisies,Netflix,tt9412454,no_data
75,Father Brown,ITV,tt0069582,no_data
76,Frozen Planet,BBC One,tt2092588,no_data
77,Jack Taylor,Virgin Media One,tt6954652,no_data
78,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
79,La Viuda Negra,Caracol Televisión,tt3275706,no_data
80,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
81,London Spy,BBC Two,tt4108134,no_data
82,Mars,Chinese Television System,no_data,no_data
83,Royal Pains,USA Network,tt1319735,no_data
84,The Fear,Channel 4,tt2316238,no_data
85,The Five,Fox News,tt1981471,no_data
86,Toast of London,Channel 4,tt2432604,no_data
87,The Rational Life,no_data,tt14376958,no_data
88,Let's Eat,tvN,tt3385484,no_data
89,The American Bible Challenge,Game Show Network,tt2246424,no_data
90,Feel Good,Channel 4,tt10098620,no_data
91,Word of Honor,no_data,tt12458172,no_data
92,The Mystic River,no_data,no_data,no_data
93,The Innocent,Netflix,tt10147644,no_data
94,Let's Fight Ghost,Netflix,no_data,no_data
95,The Underclass,no_data,tt12665438,no_data
96,Last Tango in Halifax,BBC One,tt2216156,no_data
97,Anitta: Made In Honório,Netflix,tt13486136,no_data
98,Detention,PTS Channel,tt13175760,no_data
99,Before 30,Africa Magic,no_data,no_data
100,A Queen Is Born,no_data,tt12571792,no_data
101,The Devil Punisher,no_data,tt13317376,no_data
102,Call the Midwife,BBC One,tt1983079,no_data
103,Julie and the Phantoms,Rede Bandeirantes,tt2090152,no_data
104,Goedam,no_data,tt12929796,no_data
105,The Twelve,Eén,tt7605396,no_data
106,Supernatural,The WB,tt0460681,no_data
107,Supergirl,The CW,tt4016454,no_data
108,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
109,The Eddy,Netflix,tt7322210,no_data
110,Almost Happy,Netflix,tt12146940,no_data
111,The Victims' Game,Netflix,tt12079212,no_data
112,The Trial,Canale 5,tt10549212,no_data
113,Kingdom,ITV,tt0841961,no_data
114,Velvet,Antena 3,tt2955402,no_data
115,Sleepless Society: Insomnia,no_data,tt11822994,no_data
116,Arrow,The CW,tt2193021,no_data
117,The Ghost Bride,no_data,tt9690302,no_data
118,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
119,You,Netflix,tt7335184,no_data
120,The Chosen One,Netflix,tt9048368,no_data
121,Nowhere Man,UPN,tt0112104,no_data
122,Cheese in the Trap,tvN,tt4741110,no_data
123,Gotham,Fox Broadcasting Company,tt3749900,no_data
124,Criminal: Spain,no_data,tt10986050,no_data
125,Sacred Games,Netflix,tt6077448,no_data
126,Til Death Do Us Part,no_data,tt10732758,no_data
127,The Family,American Broadcasting Company,tt4428038,no_data
128,Reply 1994,tvN,tt3357586,no_data
129,Reply 1997,tvN,tt2782216,no_data
130,Bolívar,Netflix,tt9327242,no_data
131,Crime Diaries: Night Out,no_data,tt10242266,no_data
132,Hjørdis,TV 2 Danmark,tt4057466,no_data
133,Watership Down,CITV,tt0211882,no_data
134,Pine Gap,ABC,tt7371868,no_data
135,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
136,Take My Brother Away,no_data,tt8894324,no_data
137,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
138,Bobby Kennedy for President,no_data,tt8200004,no_data
139,James Acaster: Repertoire,no_data,tt7818686,no_data
140,Godzilla,TV Tokyo,tt0177814,no_data
141,Myths & Monsters,no_data,tt7531644,no_data
142,Degrassi: Next Class,Family Channel,tt5320160,no_data
143,Man to Man,JTBC,tt6032762,no_data
144,Hoff the Record,no_data,tt4095622,no_data
145,Merlin,BBC One,tt1199099,no_data
146,Hemlock Grove,Netflix,tt2309295,no_data
147,Bitter Daisies,Netflix,tt9412454,no_data
148,Father Brown,ITV,tt0069582,no_data
149,Frozen Planet,BBC One,tt2092588,no_data
150,Jack Taylor,Virgin Media One,tt6954652,no_data
151,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
152,La Viuda Negra,Caracol Televisión,tt3275706,no_data
153,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
154,London Spy,BBC Two,tt4108134,no_data
155,Mars,Chinese Television System,no_data,no_data
156,Royal Pains,USA Network,tt1319735,no_data
157,The Fear,Channel 4,tt2316238,no_data
158,The Five,Fox News,tt1981471,no_data
159,Toast of London,Channel 4,tt2432604,no_data
160,Anitta: Made In Honório,Netflix,tt13486136,no_data
161,Detention,Netflix,tt13175760,no_data
162,Before 30,Africa Magic,no_data,no_data
163,A Queen Is Born,no_data,tt12571792,no_data
164,The Devil Punisher,no_data,tt13317376,no_data
165,Call the Midwife,BBC One,tt1983079,no_data
166,Julie and the Phantoms,Rede Bandeirantes,tt2090152,no_data
167,Goedam,no_data,tt12929796,no_data
168,The Twelve,Eén,tt7605396,no_data
169,Supernatural,The WB,tt0460681,no_data
170,Supergirl,The CW,tt4016454,no_data
171,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
172,The Eddy,Netflix,tt7322210,no_data
173,Almost Happy,Netflix,tt12146940,no_data
174,The Victims' Game,Netflix,tt12079212,no_data
175,The Trial,Canale 5,tt10549212,no_data
176,Kingdom,Audience Network,tt3673794,no_data
177,Velvet,Antena 3,tt2955402,no_data
178,Sleepless Society: Insomnia,no_data,tt11822994,no_data
179,Arrow,The CW,tt2193021,no_data
180,The Ghost Bride,no_data,tt9690302,no_data
181,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
182,You,Netflix,tt7335184,no_data
183,The Chosen One,Netflix,tt9048368,no_data
184,Nowhere Man,UPN,tt0112104,no_data
185,Cheese in the Trap,tvN,tt4741110,no_data
186,Gotham,Fox Broadcasting Company,tt3749900,no_data
187,Criminal: Spain,no_data,tt10986050,no_data
188,Sacred Games,Netflix,tt6077448,no_data
189,Til Death Do Us Part,no_data,tt10732758,no_data
190,The Family,American Broadcasting Company,tt4428038,no_data
191,Reply 1994,tvN,tt3357586,no_data
192,Reply 1997,tvN,tt2782216,no_data
193,Bolívar,Netflix,tt9327242,no_data
194,Crime Diaries: Night Out,no_data,tt10242266,no_data
195,Hjørdis,TV 2 Danmark,tt4057466,no_data
196,Watership Down,CITV,tt0211882,no_data
197,Pine Gap,ABC,tt7371868,no_data
198,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
199,Take My Brother Away,no_data,tt8894324,no_data
200,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
201,Bobby Kennedy for President,no_data,tt8200004,no_data
202,James Acaster: Repertoire,no_data,tt7818686,no_data
203,Godzilla,TV Tokyo,tt0177814,no_data
204,Myths & Monsters,no_data,tt7531644,no_data
205,Degrassi: Next Class,Family Channel,tt5320160,no_data
206,Man to Man,JTBC,tt6032762,no_data
207,Hoff the Record,no_data,tt4095622,no_data
208,Merlin,BBC One,tt1199099,no_data
209,Hemlock Grove,Netflix,tt2309295,no_data
210,Bitter Daisies,Netflix,tt9412454,no_data
211,Father Brown,ITV,tt0069582,no_data
212,Frozen Planet,BBC One,tt2092588,no_data
213,Jack Taylor,Virgin Media One,tt6954652,no_data
214,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
215,La Viuda Negra,Caracol Televisión,tt3275706,no_data
216,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
217,London Spy,BBC Two,tt4108134,no_data
218,Mars,Chinese Television System,no_data,no_data
219,Royal Pains,USA Network,tt1319735,no_data
220,The Fear,Channel 4,tt2316238,no_data
221,The Five,Fox News,tt1981471,no_data
222,Toast of London,Channel 4,tt2432604,no_data
223,The Smart Money Woman,Netflix,no_data,no_data
224,King of Boys: The Return of the King,Netflix,no_data,no_data
225,Valeria,Univision,tt1483311,no_data
226,I Need Romance,tvN,tt3340752,no_data
227,Navarasa,no_data,no_data,no_data
228,Office Girls,Taiwan Television,tt4381290,no_data
229,The Flash,CBS,tt0098798,no_data
230,The Mire,Showmax,tt8855592,no_data
231,Masameer County,Netflix,tt14936146,no_data
232,Ray,no_data,no_data,no_data
233,Riverdale,CBC Television,tt0125643,no_data
234,The Rational Life,no_data,tt14376958,no_data
235,Let's Eat,tvN,tt3385484,no_data
236,The American Bible Challenge,Game Show Network,tt2246424,no_data
237,Feel Good,Channel 4,tt10098620,no_data
238,Word of Honor,no_data,tt12458172,no_data
239,The Mystic River,no_data,no_data,no_data
240,The Innocent,Netflix,tt10147644,no_data
241,Let's Fight Ghost,Netflix,no_data,no_data
